word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
aditivo,6,6,100,0,0
agropecuario,8,6,75,2,25
ailton,7,6,85.71428571428571,1,14.285714285714285
almarjani,6,6,100,0,0
alpha,8,6,75,1,12.5
alphabet,6,6,100,0,0
amamentacao,6,6,100,0,0
anonimato,6,6,100,0,0
apelido,6,6,100,0,0
apreciacao,6,6,100,0,0
apresentada,6,6,100,0,0
apresentaram,6,6,100,0,0
arbitrio,6,6,100,0,0
arder,8,6,75,2,25
ardern,6,6,100,0,0
artificiar,8,6,75,2,25
artrit,6,6,100,0,0
ascendent,6,6,100,0,0
athit,6,6,100,0,0
atila,8,6,75,2,25
avalizar,6,6,100,0,0
bandnew,7,6,85.71428571428571,1,14.285714285714285
baralhar,7,6,85.71428571428571,1,14.285714285714285
behrouz,6,6,100,0,0
benfica,7,6,85.71428571428571,1,14.285714285714285
blasio,8,6,75,2,25
bovino,8,6,75,2,25
brasilandia,7,6,85.71428571428571,1,14.285714285714285
brennand,6,6,100,0,0
britanica,6,6,100,0,0
browser,6,6,100,0,0
bundesliga,6,6,100,0,0
buscado,8,6,75,1,12.5
buscador,7,6,85.71428571428571,1,14.285714285714285
butanvac,8,6,75,2,25
camboja,6,6,100,0,0
candido,8,6,75,2,25
caracteristica,6,6,100,0,0
carolina,6,6,100,0,0
castex,6,6,100,0,0
cezar,7,6,85.71428571428571,1,14.285714285714285
chegada,7,6,85.71428571428571,1,14.285714285714285
cicero,7,6,85.71428571428571,1,14.285714285714285
citou,6,6,100,0,0
cnpem,6,6,100,0,0
codevasf,6,6,100,0,0
comecaram,6,6,100,0,0
comparado,6,6,100,0,0
compartilhada,8,6,75,1,12.5
conjuncao,8,6,75,2,25
conjuntivit,6,6,100,0,0
conjuntur,7,6,85.71428571428571,0,0
conjuntura,6,6,100,0,0
constelacao,6,6,100,0,0
conturbar,6,6,100,0,0
conversao,7,6,85.71428571428571,1,14.285714285714285
cuja,7,6,85.71428571428571,1,14.285714285714285
dataprev,8,6,75,2,25
debatido,6,6,100,0,0
delegacao,7,6,85.71428571428571,1,14.285714285714285
demisso,6,6,100,0,0
denis,7,6,85.71428571428571,1,14.285714285714285
desmobilizar,6,6,100,0,0
detrimento,7,6,85.71428571428571,1,14.285714285714285
digas,8,6,75,2,25
dinossauro,7,6,85.71428571428571,1,14.285714285714285
discriminar,8,6,75,2,25
distribuida,6,6,100,0,0
divergent,7,6,85.71428571428571,1,14.285714285714285
dourar,8,6,75,2,25
elastico,8,6,75,2,25
embaralhar,6,6,100,0,0
empreendedorismo,6,6,100,0,0
encontrado,6,6,100,0,0
enviou,6,6,100,0,0
especializado,6,6,100,0,0
espetacular,6,6,100,0,0
estocolmo,6,6,100,0,0
estrago,8,6,75,2,25
estudioso,8,6,75,2,25
etitulo,8,6,75,2,25
evangelista,8,6,75,2,25
evasao,6,6,100,0,0
everton,7,6,85.71428571428571,1,14.285714285714285
exchef,8,6,75,2,25
excomandant,7,6,85.71428571428571,1,14.285714285714285
fausto,7,6,85.71428571428571,1,14.285714285714285
federai,6,6,100,0,0
ferraz,8,6,75,2,25
ferrenho,8,6,75,2,25
figueira,6,6,100,0,0
fisiologico,8,6,75,2,25
forcastarefa,6,6,100,0,0
fresco,7,6,85.71428571428571,1,14.285714285714285
galiott,6,6,100,0,0
garimpo,7,6,85.71428571428571,0,0
gerenteger,6,6,100,0,0
goldman,7,6,85.71428571428571,1,14.285714285714285
gonzalo,6,6,100,0,0
gradativo,6,6,100,0,0
graduar,7,6,85.71428571428571,1,14.285714285714285
gripal,7,6,85.71428571428571,1,14.285714285714285
guardiola,6,6,100,0,0
hassan,6,6,100,0,0
hawkin,7,6,85.71428571428571,1,14.285714285714285
helou,6,6,100,0,0
hierarquia,8,6,75,2,25
hipotetico,6,6,100,0,0
ilegalment,8,6,75,1,12.5
imc,8,6,75,1,12.5
imparcialidad,7,6,85.71428571428571,1,14.285714285714285
impetrar,6,6,100,0,0
implicacao,6,6,100,0,0
impossibilidad,7,6,85.71428571428571,1,14.285714285714285
imputar,6,6,100,0,0
inapropriado,6,6,100,0,0
industriar,8,6,75,2,25
ineficient,7,6,85.71428571428571,1,14.285714285714285
injusto,7,6,85.71428571428571,1,14.285714285714285
interamericano,6,6,100,0,0
interinament,8,6,75,2,25
interligar,8,6,75,2,25
