word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
correspondencia,8,1,12.5,7,87.5
covardia,8,1,12.5,7,87.5
cristianismo,9,1,11.11111111111111,7,77.77777777777779
desocupar,8,1,12.5,7,87.5
detonar,8,1,12.5,7,87.5
doutrinar,7,0,0,7,100
envelop,7,0,0,7,100
erronea,10,2,20,7,70
erroneament,9,2,22.22222222222222,7,77.77777777777779
esofago,10,3,30,7,70
espiao,9,2,22.22222222222222,7,77.77777777777779
etiopia,8,1,12.5,7,87.5
fatosfato,7,0,0,7,100
filantropico,8,1,12.5,7,87.5
funkeiro,9,2,22.22222222222222,7,77.77777777777779
granizar,8,1,12.5,7,87.5
greca,9,2,22.22222222222222,7,77.77777777777779
guga,7,0,0,7,100
habib,7,0,0,7,100
hemorragia,8,1,12.5,7,87.5
hidroeletrica,8,1,12.5,7,87.5
holofot,10,3,30,7,70
iluminacao,10,3,30,7,70
improprio,7,0,0,7,100
incorreto,7,0,0,7,100
instrutor,9,1,11.11111111111111,7,77.77777777777779
interceptar,9,2,22.22222222222222,7,77.77777777777779
joinvil,9,2,22.22222222222222,7,77.77777777777779
jumento,7,0,0,7,100
keto,7,0,0,7,100
lagarta,7,0,0,7,100
laptop,7,0,0,7,100
larva,7,0,0,7,100
legalizacao,9,2,22.22222222222222,7,77.77777777777779
lesbico,8,1,12.5,7,87.5
lieber,7,0,0,7,100
maikelli,7,0,0,7,100
mamao,9,2,22.22222222222222,7,77.77777777777779
manir,8,1,12.5,7,87.5
manualment,7,0,0,7,100
martelar,10,3,30,7,70
mercedesbenz,7,0,0,7,100
messeng,8,1,12.5,7,87.5
mikovit,7,0,0,7,100
mordomia,7,0,0,7,100
nanoparticula,10,3,30,7,70
narcotraficant,9,2,22.22222222222222,7,77.77777777777779
natalino,8,1,12.5,7,87.5
nestl,9,2,22.22222222222222,7,77.77777777777779
noventa,9,2,22.22222222222222,7,77.77777777777779
opressor,10,3,30,7,70
pacificament,7,0,0,7,100
panetton,7,0,0,7,100
paralizacao,7,0,0,7,100
patentear,8,1,12.5,7,87.5
persever,9,2,22.22222222222222,7,77.77777777777779
peruca,8,1,12.5,7,87.5
pipeiro,7,0,0,7,100
plurinacion,7,0,0,7,100
premiacao,8,1,12.5,7,87.5
prode,10,1,10,7,70
prodemocracia,8,1,12.5,7,87.5
projetil,7,0,0,7,100
prosperidad,10,3,30,7,70
prostata,10,3,30,7,70
punho,8,1,12.5,7,87.5
recontagem,8,1,12.5,7,87.5
reposto,9,2,22.22222222222222,7,77.77777777777779
sabesp,9,2,22.22222222222222,7,77.77777777777779
safadeza,7,0,0,7,100
santand,7,0,0,7,100
semaforo,8,1,12.5,7,87.5
sobreposto,7,0,0,7,100
stedil,7,0,0,7,100
sugar,8,1,12.5,7,87.5
suicidar,9,2,22.22222222222222,7,77.77777777777779
tonica,10,2,20,7,70
trajar,7,0,0,7,100
travestir,9,2,22.22222222222222,7,77.77777777777779
tropico,9,1,11.11111111111111,7,77.77777777777779
trouxa,7,0,0,7,100
urubu,9,2,22.22222222222222,7,77.77777777777779
vachi,9,0,0,7,77.77777777777779
vachina,8,0,0,7,87.5
violentament,8,1,12.5,7,87.5
weiss,10,2,20,7,70
weissmann,9,2,22.22222222222222,7,77.77777777777779
zumbir,10,3,30,7,70
acampamento,11,3,27.27272727272727,8,72.72727272727273
admirar,11,3,27.27272727272727,8,72.72727272727273
alarmista,9,1,11.11111111111111,8,88.88888888888889
antiinflamatorio,10,2,20,8,80
apocalips,9,1,11.11111111111111,8,88.88888888888889
ashley,11,3,27.27272727272727,8,72.72727272727273
asteroid,10,2,20,8,80
babaca,8,0,0,8,100
boechat,8,0,0,8,100
boldo,9,1,11.11111111111111,8,88.88888888888889
brigadista,10,2,20,8,80
budweis,8,0,0,8,100
buraco,8,0,0,8,100
bush,9,1,11.11111111111111,8,88.88888888888889
c19,9,1,11.11111111111111,8,88.88888888888889
cacau,10,2,20,8,80
cambar,8,0,0,8,100
catarata,10,2,20,8,80
caviar,8,0,0,8,100
ceagesp,8,0,0,8,100
criciuma,10,2,20,8,80
defunto,8,0,0,8,100
denotar,10,2,20,8,80
desacreditar,10,2,20,8,80
descarar,8,0,0,8,100
desmoralizar,11,3,27.27272727272727,8,72.72727272727273
diametro,8,0,0,8,100
difamar,11,3,27.27272727272727,8,72.72727272727273
disparo,11,3,27.27272727272727,8,72.72727272727273
egg,10,0,0,8,80
emanar,11,1,9.090909090909092,8,72.72727272727273
enojar,9,1,11.11111111111111,8,88.88888888888889
escuridao,9,1,11.11111111111111,8,88.88888888888889
esfregar,11,3,27.27272727272727,8,72.72727272727273
esposar,9,1,11.11111111111111,8,88.88888888888889
excandidato,11,3,27.27272727272727,8,72.72727272727273
ffaa,8,0,0,8,100
frame,10,1,10,8,80
genetica,11,2,18.181818181818183,8,72.72727272727273
geneticament,10,2,20,8,80
glauber,8,0,0,8,100
golaco,8,0,0,8,100
hebraico,8,0,0,8,100
hidratar,10,2,20,8,80
hillari,11,3,27.27272727272727,8,72.72727272727273
honestidad,11,3,27.27272727272727,8,72.72727272727273
ilheu,8,0,0,8,100
incendiario,8,0,0,8,100
incisar,8,0,0,8,100
infinito,9,1,11.11111111111111,8,88.88888888888889
khalifa,8,0,0,8,100
labio,9,1,11.11111111111111,8,88.88888888888889
lauro,10,2,20,8,80
like,10,2,20,8,80
limitadoquestao,8,0,0,8,100
liquidificador,8,0,0,8,100
loteria,11,3,27.27272727272727,8,72.72727272727273
malbec,8,0,0,8,100
maltratar,9,1,11.11111111111111,8,88.88888888888889
