word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
adalgisa,1,1,100,0,0
adalmir,1,1,100,0,0
adaptacao,19,16,84.21052631578947,3,15.789473684210526
adaptaco,2,2,100,0,0
adaptada,1,1,100,0,0
adaptado,2,2,100,0,0
adaptandoo,1,1,100,0,0
adaptandos,1,1,100,0,0
adaptavel,1,1,100,0,0
adbelmassih,1,1,100,0,0
addit,1,1,100,0,0
address,1,1,100,0,0
adelvanio,1,1,100,0,0
adenoviru,8,7,87.5,1,12.5
adepto,5,5,100,0,0
adequass,1,1,100,0,0
aderiram,2,2,100,0,0
adesao,31,26,83.87096774193549,5,16.129032258064516
adesivaco,1,1,100,0,0
adeyemi,1,1,100,0,0
adhanom,50,39,78,11,22
adhanon,1,1,100,0,0
adiada,1,1,100,0,0
adiado,3,3,100,0,0
adiala,1,1,100,0,0
adiamento,51,49,96.07843137254902,2,3.9215686274509802
adiamo,1,1,100,0,0
adiantado,1,1,100,0,0
adiantam,4,3,75,0,0
adiantamento,3,3,100,0,0
adicionado,1,1,100,0,0
adicionalment,14,10,71.42857142857143,3,21.428571428571427
adicionar,68,51,75,17,25
adicionavestido,1,1,100,0,0
adiposo,1,1,100,0,0
aditivo,6,6,100,0,0
administrada,2,2,100,0,0
administradorassociado,1,1,100,0,0
administram,1,1,100,0,0
administrativament,1,1,100,0,0
administrativo,129,101,78.29457364341084,1,0.7751937984496124
administravel,1,1,100,0,0
adminstr,1,1,100,0,0
admiravel,5,4,80,1,20
admissibilidad,3,3,100,0,0
admitido,1,1,100,0,0
admitiram,1,1,100,0,0
admitiuqu,1,1,100,0,0
adoecam,1,1,100,0,0
adoecia,1,1,100,0,0
adolescencia,7,7,100,0,0
adolfo,20,19,95,1,5
adoni,2,2,100,0,0
adorando,1,1,100,0,0
adormec,5,4,80,1,20
adotada,137,108,78.83211678832117,29,21.16788321167883
adotando,13,11,84.61538461538461,2,15.384615384615385
adotaram,17,12,70.58823529411765,5,29.411764705882355
adotarem,8,7,87.5,1,12.5
adotassem,3,3,100,0,0
adotemo,1,1,100,0,0
adotiva,1,1,100,0,0
adoto,1,1,100,0,0
adpf,5,5,100,0,0
adquirida,2,2,100,0,0
adquirido,4,4,100,0,0
adriano,13,12,92.30769231,1,7.6923076923076925
adriatico,2,2,100,0,0
adrielli,1,1,100,0,0
aduana,1,1,100,0,0
aduaneiro,1,1,100,0,0
adulterant,1,1,100,0,0
adulterio,2,2,100,0,0
adulto,120,97,80.83333333333333,23,19.166666666666668
adurir,3,3,100,0,0
advanc,3,3,100,0,0
adverci,1,1,100,0,0
adversaria,1,1,100,0,0
adversario,70,57,81.42857142857143,13,18.571428571428573
adversidad,5,4,80,1,20
advertem,2,2,100,0,0
advertencia,17,13,76.47058823529412,4,23.52941176470588
advertiu,1,1,100,0,0
