word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
caxia,42,36,85.71428571428571,6,14.285714285714285
ccj,25,21,84,4,16
celebrar,77,56,72.72727272727273,21,27.27272727272727
celso,108,76,70.37037037037037,1,0.9259259259259258
cenario,208,178,85.57692307692307,1,0.4807692307692308
cepa,59,43,72.88135593220339,15,25.423728813559322
cerimoni,68,50,73.52941176470588,1,1.4705882352941175
cerimonia,63,50,79.36507936507937,1,1.5873015873015872
certeza,42,35,83.33333333333334,3,7.142857142857142
cessionario,30,22,73.33333333333333,7,23.333333333333332
checo,127,111,87.4015748,3,2.3622047244094486
chefiar,38,31,81.57894736842105,7,18.421052631578945
cilindro,27,21,77.77777777777779,6,22.22222222222222
circulacao,166,127,76.50602409638554,1,0.6024096385542169
cirurgico,32,23,71.875,9,28.125
cj,28,21,75,2,7.142857142857142
claudio,45,34,75.55555555555556,11,24.444444444444443
client,147,105,71.42857142857143,1,0.6802721088435374
cnj,28,26,92.85714285714286,2,7.142857142857142
cnmp,25,25,100,0,0
colaboracao,55,41,74.54545454545455,1,1.8181818181818181
colaborar,32,24,75,8,25
colegiado,62,62,100,0,0
colegio,50,38,76,12,24
coletivo,71,56,78.87323943661971,15,21.12676056338028
colleg,26,24,92.30769231,2,7.6923076923076925
colombio,47,33,70.21276596,14,29.78723404255319
colunista,82,75,91.46341463414635,7,8.536585365853659
cometido,26,21,80.76923076923077,5,19.230769230769234
comissao,442,362,81.90045248868778,80,18.099547511312217
comorbidad,49,42,85.71428571428571,7,14.285714285714285
companhia,224,164,73.21428571428571,60,26.785714285714285
comparacao,149,112,75.16778523489933,37,24.832214765100673
competicao,90,82,91.11111111111111,8,8.888888889
compilar,35,32,91.42857142857143,3,8.571428571428571
complicacao,90,72,80,18,20
comportament,99,73,73.73737373737373,1,1.0101010101010102
comportamento,88,73,82.95454545454545,1,1.1363636363636365
comprometido,32,23,71.875,9,28.125
compromis,118,101,85.59322033898306,16,13.559322033898304
compromisso,117,101,86.32478632478633,16,13.675213675213676
comunitario,41,36,87.80487805,5,12.195121951219512
concedido,77,54,70.12987012987013,23,29.87012987012987
concessionario,29,22,75.86206896551724,7,24.137931034482758
concorrent,28,20,71.42857142857143,1,3.571428571428571
concreto,30,22,73.33333333333333,8,26.666666666666668
condenacao,66,48,72.72727272727273,18,27.27272727272727
condicao,272,216,79.41176470588235,56,20.588235294117645
conduta,56,42,75,14,25
confederacao,52,46,88.46153846153845,6,11.538461538461538
confirmado,36,35,97.22222222222221,1,2.7777777777777777
conflito,52,37,71.15384615384616,15,28.846153846153843
conformar,220,166,75.45454545454545,54,24.545454545454547
congresso,456,354,77.63157894736842,1,0.21929824561403508
conjunta,130,91,70,32,24.615384615384617
conjuntar,123,91,73.98373983739837,32,26.01626016260163
conjunto,32,27,84.375,5,15.625
consecutivo,62,55,88.70967741935483,7,11.29032258064516
conselho,28,27,96.42857142857143,1,3.571428571428571
consenso,30,22,73.33333333333333,8,26.666666666666668
consequencia,126,91,72.22222222222221,35,27.77777777777778
conservacao,25,21,84,4,16
consistencia,30,26,86.66666666666667,1,3.3333333333333335
consolidar,66,54,81.81818181818183,12,18.181818181818183
consorcio,204,201,98.52941176470588,3,1.4705882352941175
constatar,56,40,71.42857142857143,16,28.57142857142857
constituicao,199,143,71.85929648241206,56,28.14070351758794
consultoria,26,19,73.07692307692307,7,26.923076923076923
consumidor,104,90,86.53846153846155,14,13.461538461538462
contabil,127,92,72.44094488188976,13,10.236220472440944
contabiliz,116,92,79.31034483,13,11.206896551724139
contabiliza,115,92,80,13,11.304347826086957
contabilizar,105,92,87.61904761904762,13,12.380952380952381
contagioso,41,32,78.04878048780488,9,21.951219512195124
contemplar,43,32,74.41860465,11,25.581395348837212
contencao,32,28,87.5,4,12.5
contrato,133,109,81.95488721804512,24,18.045112781954884
contribuicao,48,41,85.41666666666666,7,14.583333333333334
convencao,27,24,88.88888888888889,3,11.11111111111111
converso,215,154,71.62790697674419,61,28.37209302325581
cooperacao,47,37,78.72340425531915,1,2.127659574468085
coordenar,73,57,78.08219178082192,16,21.91780821917808
coreia,50,39,78,11,22
corpu,40,37,92.5,3,7.5
correspondent,47,40,85.10638298,7,14.893617021276595
crescimento,180,159,88.33333333333333,21,11.666666666666666
crise,584,483,82.70547945,1,0.17123287671232876
cronica,40,30,75,10,25
cupula,66,52,78.78787878787878,14,21.21212121212121
curso,672,471,70.08928571428571,88,13.095238095238097
curvo,72,57,79.16666666666666,1,1.3888888888888888
decisao,1019,865,84.88714425907753,1,0.098135427
decorrencia,147,114,77.55102040816327,33,22.448979591836736
decorrent,56,40,71.42857142857143,16,28.57142857142857
dedicar,63,45,71.42857142857143,18,28.57142857142857
defendido,27,19,70.37037037037037,8,29.629629629629626
definitivo,46,36,78.26086956521739,10,21.73913043478261
deflagrar,34,29,85.29411764705883,5,14.705882352941178
delacao,50,36,72,14,28.000000000000004
deltan,46,34,73.91304347826086,1,2.1739130434782608
demand,142,114,80.28169014084507,15,10.56338028169014
demanda,141,114,80.85106382978722,15,10.638297872340425
demandar,129,114,88.37209302325581,15,11.627906976744185
demap,46,44,95.65217391304348,2,4.3478260869565215
demm,52,47,90.38461538461539,0,0
demmg,47,47,100,0,0
demrj,81,75,92.59259259,6,7.4074074074074066
dengu,53,40,75.47169811320755,13,24.528301886792452
depoimento,197,144,73.09644670050761,53,26.903553299492383
depressa,36,29,80.55555555555556,6,16.666666666666664
depressao,35,29,82.85714285714286,6,17.142857142857142
desafiar,83,63,75.90361445783132,20,24.096385542168676
desafio,52,50,96.15384615384616,2,3.8461538461538463
descumprimento,28,22,78.57142857142857,6,21.428571428571427
descumprir,35,25,71.42857142857143,10,28.57142857142857
desembarcar,56,43,76.78571428571429,13,23.214285714285715
desempenhar,70,59,84.28571428571429,11,15.714285714285714
desenvolvido,175,127,72.57142857142857,48,27.42857142857143
desenvolvimento,315,247,78.41269841269842,68,21.58730158730159
desgast,31,23,74.19354838709677,4,12.903225806451612
desgastar,27,23,85.18518518518519,4,14.814814814814813
desigu,37,27,72.97297297297297,5,13.513513513513514
desigualdad,32,27,84.375,5,15.625
deslocamento,48,46,95.83333333333334,2,4.166666666666666
desmatam,78,67,85.8974359,10,12.82051282051282
desmatamento,77,67,87.01298701298701,10,12.987012987012985
despesa,89,72,80.89887640449437,17,19.101123595505616
destac,302,225,74.50331125827815,1,0.33112582781456956
destaca,292,225,77.05479452054794,1,0.3424657534246575
destacar,283,225,79.50530035335689,58,20.49469964664311
destinar,274,209,76.27737226277372,65,23.722627737226276
desvio,46,38,82.60869565,8,17.391304347826086
deteccao,54,43,79.62962962962963,11,20.37037037037037
determinacao,93,75,80.64516129032258,1,1.0752688172043012
diagnostica,163,136,83.43558282208589,17,10.429447852760736
diagnosticar,153,136,88.88888888888889,17,11.11111111111111
dialogo,79,58,73.41772151898735,21,26.582278481012654
diariament,102,75,73.52941176470588,27,26.47058823529412
dificuldad,178,140,78.65168539325843,38,21.34831460674157
dificulta,38,33,86.84210526,3,7.894736842105263
dificultar,36,33,91.66666666666666,3,8.333333333333332
diminuicao,50,39,78,11,22
dinamarca,26,20,76.92307692307693,6,23.076923076923077
diplomata,26,23,88.46153846153845,3,11.538461538461538
diretoria,45,33,73.33333333333333,12,26.666666666666668
discussao,134,108,80.59701492537313,26,19.402985074626866
disseminac,185,145,78.37837837837837,39,21.08108108108108
