word,words_total_appear_in_group,words_total_in_group_without_stop_words,words_total_in_group_with_stop_words
condicionant,4,477949,602859
condicionar,15,477949,602859
condico,18,477949,602859
condiz,1,477949,602859
condizent,2,477949,602859
condol,1,477949,602859
condolencia,2,477949,602859
condominio,16,477949,602859
conducao,47,477949,602859
conduct,1,477949,602859
conduta,42,477949,602859
condutor,7,477949,602859
conduz,1,477949,602859
conduzida,1,477949,602859
conduzido,3,477949,602859
conduzindo,1,477949,602859
conduzir,91,477949,602859
cone,1,477949,602859
conectada,1,477949,602859
conectado,1,477949,602859
conectamo,1,477949,602859
conectando,1,477949,602859
conectar,28,477949,602859
conep,1,477949,602859
conexao,23,477949,602859
conexo,3,477949,602859
confeccao,4,477949,602859
confeccionada,1,477949,602859
confeccionar,4,477949,602859
confederacao,46,477949,602859
confeitaria,1,477949,602859
confer,3,477949,602859
conferencia,23,477949,602859
conferencista,1,477949,602859
conferir,65,477949,602859
confessar,9,477949,602859
confesso,3,477949,602859
confiabilidad,1,477949,602859
confianca,50,477949,602859
confiant,11,477949,602859
confiar,37,477949,602859
confiavei,2,477949,602859
confiavel,8,477949,602859
confidencialidad,6,477949,602859
confidenciar,4,477949,602859
configuracao,7,477949,602859
configurar,16,477949,602859
confinada,1,477949,602859
confinado,3,477949,602859
confinamento,113,477949,602859
confinar,12,477949,602859
confio,1,477949,602859
confira,1,477949,602859
confirm,11,477949,602859
confirma,2,477949,602859
confirmacao,69,477949,602859
confirmacaoo,1,477949,602859
confirmada,13,477949,602859
confirmado,35,477949,602859
confirmando,1,477949,602859
confirmar,748,477949,602859
confirmaram,2,477949,602859
confirmas,1,477949,602859
confiscar,2,477949,602859
confissao,3,477949,602859
conflagrada,1,477949,602859
conflitando,1,477949,602859
conflitant,3,477949,602859
conflitar,1,477949,602859
conflito,37,477949,602859
conflituoso,4,477949,602859
conform,20,477949,602859
conformacao,2,477949,602859
conformar,166,477949,602859
conformeportaria,3,477949,602859
conformidad,5,477949,602859
conformismo,1,477949,602859
confort,1,477949,602859
confortar,12,477949,602859
confortavei,1,477949,602859
confortavel,8,477949,602859
conforto,1,477949,602859
confraternizacao,2,477949,602859
confraternizar,2,477949,602859
confrontacao,2,477949,602859
confrontalo,1,477949,602859
confrontar,31,477949,602859
confronto,5,477949,602859
confucio,3,477949,602859
confundem,1,477949,602859
confundir,19,477949,602859
confusa,1,477949,602859
confusao,23,477949,602859
confuso,11,477949,602859
congelado,1,477949,602859
congelador,1,477949,602859
congelamento,11,477949,602859
congelant,1,477949,602859
congelar,12,477949,602859
congener,1,477949,602859
congenita,5,477949,602859
congenito,1,477949,602859
congestionamento,3,477949,602859
congestionar,3,477949,602859
conglomerado,2,477949,602859
conglomerar,4,477949,602859
congo,5,477949,602859
congonhar,1,477949,602859
congratulamo,1,477949,602859
congratulandos,1,477949,602859
congratular,1,477949,602859
congregacao,3,477949,602859
congregar,1,477949,602859
congress,1,477949,602859
congressista,17,477949,602859
congresso,354,477949,602859
congressu,1,477949,602859
congruencia,1,477949,602859
conhec,78,477949,602859
conheca,1,477949,602859
conhecem,1,477949,602859
conhecia,2,477949,602859
conhecida,3,477949,602859
conhecido,12,477949,602859
conhecimento,41,477949,602859
conib,1,477949,602859
conicet,1,477949,602859
conif,1,477949,602859
conitec,3,477949,602859
conivent,1,477949,602859
conjug,4,477949,602859
conjugacao,1,477949,602859
conjugar,1,477949,602859
conjuncao,6,477949,602859
conjunta,3,477949,602859
conjuntament,4,477949,602859
conjuntar,91,477949,602859
conjuntivit,6,477949,602859
conjuntivo,1,477949,602859
conjunto,27,477949,602859
conjuntur,1,477949,602859
conjuntura,6,477949,602859
conjur,1,477949,602859
conjuracao,1,477949,602859
conka,4,477949,602859
conley,1,477949,602859
conmebol,11,477949,602859
connect,2,477949,602859
connecticut,1,477949,602859
conni,4,477949,602859
conoc,1,477949,602859
conoravac,1,477949,602859
conosco,4,477949,602859
conotacao,3,477949,602859
conquist,1,477949,602859
conquista,1,477949,602859
conquistar,36,477949,602859
conrado,3,477949,602859
cons,3,477949,602859
consabido,1,477949,602859
consagrado,1,477949,602859
consagrar,5,477949,602859
consciencia,25,477949,602859
conscient,18,477949,602859
conscientizacao,10,477949,602859
conscientizar,8,477949,602859
conscientizarem,1,477949,602859
consecutivament,1,477949,602859
consecutivo,55,477949,602859
consegu,3,477949,602859
conseguem,2,477949,602859
conseguido,2,477949,602859
conseguimo,3,477949,602859
conseguint,1,477949,602859
conseguir,345,477949,602859
conseguiram,4,477949,602859
conseguirao,1,477949,602859
conseguiu,4,477949,602859
conselheiro,25,477949,602859
conselho,27,477949,602859
consenso,22,477949,602859
consensu,1,477949,602859
consentimento,10,477949,602859
consentir,3,477949,602859
consequ,1,477949,602859
consequencia,91,477949,602859
consequent,4,477949,602859
consequentement,18,477949,602859
consertar,3,477949,602859
conserv,1,477949,602859
conservacao,21,477949,602859
conservador,28,477949,602859
conservadorismo,1,477949,602859
conservant,2,477949,602859
conservar,4,477949,602859
consider,2,477949,602859
considera,7,477949,602859
consideracao,22,477949,602859
considerada,9,477949,602859
considerado,13,477949,602859
considerala,1,477949,602859
consideralo,1,477949,602859
consideram,3,477949,602859
considerando,3,477949,602859
considerar,439,477949,602859
considerars,1,477949,602859
considerava,1,477949,602859
consideravel,9,477949,602859
consideravelment,8,477949,602859
considerese1,1,477949,602859
considero,1,477949,602859
consif,1,477949,602859
consiga,2,477949,602859
consigam,2,477949,602859
consigamo,1,477949,602859
consignar,5,477949,602859
consigo,4,477949,602859
consist,3,477949,602859
consistencia,3,477949,602859
consistent,11,477949,602859
consistentement,2,477949,602859
consistir,16,477949,602859
consistira,1,477949,602859
consolacao,1,477949,602859
consolar,1,477949,602859
consolidacao,4,477949,602859
consolidado,1,477949,602859
consolidam,1,477949,602859
consolidar,54,477949,602859
consom,1,477949,602859
consonancia,4,477949,602859
consorcio,201,477949,602859
conspicuo,1,477949,602859
conspiracao,16,477949,602859
conspiracionistasporem,1,477949,602859
conspirar,2,477949,602859
conspiratorio,4,477949,602859
consta,3,477949,602859
constam,2,477949,602859
constanca,1,477949,602859
constant,37,477949,602859
constantement,14,477949,602859
constantino,2,477949,602859
constar,64,477949,602859
constatacao,17,477949,602859
constatar,40,477949,602859
constatous,1,477949,602859
constelacao,6,477949,602859
constitu,1,477949,602859
constitucion,68,477949,602859
constitucionalidad,4,477949,602859
constitucionalismo,1,477949,602859
constitucionalment,1,477949,602859
constitucionalo,1,477949,602859
constituicao,143,477949,602859
constituint,5,477949,602859
constituir,9,477949,602859
constrang,3,477949,602859
constrangedor,2,477949,602859
constrangido,1,477949,602859
constrangimento,10,477949,602859
construcao,69,477949,602859
construcap,1,477949,602859
construida,3,477949,602859
construido,2,477949,602859
construimo,1,477949,602859
construindo,1,477949,602859
construir,62,477949,602859
construiu,1,477949,602859
construtiva,1,477949,602859
construtivo,3,477949,602859
construtor,12,477949,602859
consu,2,477949,602859
consul,1,477949,602859
consulado,9,477949,602859
consular,2,477949,602859
consulta,10,477949,602859
consultado,3,477949,602859
consultalo,2,477949,602859
consultamo,1,477949,602859
consultar,48,477949,602859
consultivo,8,477949,602859
consulto,52,477949,602859
consultor,16,477949,602859
consultora,1,477949,602859
consultoria,19,477949,602859
consultorio,7,477949,602859
consum,3,477949,602859
consumada,1,477949,602859
consumar,2,477949,602859
consumia,1,477949,602859
consumidor,90,477949,602859
consumilo,1,477949,602859
consumir,86,477949,602859
consumo,4,477949,602859
cont,10,477949,602859
conta,43,477949,602859
contabei,2,477949,602859
contabil,2,477949,602859
contabilidad,8,477949,602859
contabiliz,1,477949,602859
contabiliza,4,477949,602859
contabilizacao,2,477949,602859
contabilizada,2,477949,602859
contabilizado,2,477949,602859
contabilizar,92,477949,602859
contactant,1,477949,602859
contactar,2,477949,602859
contador,2,477949,602859
contagem,56,477949,602859
contagiar,12,477949,602859
contagiem,1,477949,602859
contagio,184,477949,602859
contagiodentro,1,477949,602859
contagiosa,2,477949,602859
contagioso,32,477949,602859
contagota,2,477949,602859
contala,1,477949,602859
contam,1,477949,602859
contamcom,1,477949,602859
contaminacao,115,477949,602859
contaminaco,3,477949,602859
contaminada,4,477949,602859
contaminado,5,477949,602859
contaminam,1,477949,602859
contaminant,2,477949,602859
contaminar,131,477949,602859
contamo,1,477949,602859
contandos,1,477949,602859
contanto,1,477949,602859
contar,846,477949,602859
contarao,1,477949,602859
contarato,4,477949,602859
contaro,1,477949,602859
contaspoupanca,1,477949,602859
contatado,1,477949,602859
contatalo,1,477949,602859
contatam,1,477949,602859
contatar,3,477949,602859
contatarem,1,477949,602859
contatinho,1,477949,602859
contato,225,477949,602859
contein,1,477949,602859
conteiner,6,477949,602859
contem,3,477949,602859
contempla,1,477949,602859
contemplada,1,477949,602859
contemplado,2,477949,602859
contemplar,32,477949,602859
contemporanea,1,477949,602859
contemporaneidad,1,477949,602859
contemporaneo,5,477949,602859
contencao,28,477949,602859
contencioso,1,477949,602859
contendo,1,477949,602859
contenest,1,477949,602859
content,1,477949,602859
contentamento,1,477949,602859
contentar,1,477949,602859
conter,206,477949,602859
conterraneo,1,477949,602859
contest,1,477949,602859
contesta,1,477949,602859
contestacao,7,477949,602859
contestaco,1,477949,602859
contestada,1,477949,602859
contestando,1,477949,602859
contestar,27,477949,602859
conteudo,99,477949,602859
contexto,50,477949,602859
contextualizar,1,477949,602859
contido,5,477949,602859
contigencia,2,477949,602859
contiguo,2,477949,602859
continent,66,477949,602859
continentea,1,477949,602859
contingencia,61,477949,602859
contingenciado,1,477949,602859
contingenciamento,9,477949,602859
contingent,7,477949,602859
continu,3,477949,602859
continua,9,477949,602859
continuacao,4,477949,602859
continuadament,1,477949,602859
continuam,5,477949,602859
continuament,5,477949,602859
continuar,377,477949,602859
continuara,2,477949,602859
continuaram,2,477949,602859
continuarao,1,477949,602859
continuei,1,477949,602859
continuem,2,477949,602859
continuidad,55,477949,602859
continuismo,1,477949,602859
continuo,47,477949,602859
conto,2,477949,602859
contorc,1,477949,602859
contornalo,1,477949,602859
contornar,7,477949,602859
contorno,1,477949,602859
contou,11,477949,602859
contouem,1,477949,602859
contra,152,477949,602859
contracao,8,477949,602859
contraceptivo,3,477949,602859
contrachequ,1,477949,602859
contrad,2,477949,602859
contradicao,16,477949,602859
contraditorio,10,477949,602859
contraido,1,477949,602859
contraindicacao,3,477949,602859
contraindicaco,2,477949,602859
contraindicada,1,477949,602859
contrainformacao,2,477949,602859
contrair,95,477949,602859
contraiu,2,477949,602859
contramajoritaria,1,477949,602859
contramao,12,477949,602859
contramedida,1,477949,602859
contrapartida,15,477949,602859
contrapeso,2,477949,602859
contraponto,4,477949,602859
contrapor,3,477949,602859
contraposicao,1,477949,602859
contraprestacao,3,477949,602859
contraprova,1,477949,602859
contraprovar,14,477949,602859
contrari,1,477949,602859
contraria,1,477949,602859
contrariament,1,477949,602859
contrariar,37,477949,602859
contrariedad,5,477949,602859
contrario,118,477949,602859
contrariu,1,477949,602859
contrasenso,1,477949,602859
contrassenso,1,477949,602859
contrast,1,477949,602859
contrasta,1,477949,602859
contrastar,5,477949,602859
contratacao,52,477949,602859
contrataco,3,477949,602859
contratado,2,477949,602859
contratador,1,477949,602859
contratar,176,477949,602859
contratempo,3,477949,602859
contrato,109,477949,602859
contratu,9,477949,602859
contratualizacao,1,477949,602859
contratualizada,1,477949,602859
contraturno,2,477949,602859
contraventor,1,477949,602859
contribuem,1,477949,602859
contribui,2,477949,602859
contribuicao,41,477949,602859
contribuint,11,477949,602859
contribuir,66,477949,602859
contribuiu,1,477949,602859
control,21,477949,602859
controlada,4,477949,602859
controlador,7,477949,602859
controladorger,1,477949,602859
controladoria,5,477949,602859
controladoriager,12,477949,602859
controlalo,2,477949,602859
controlar,95,477949,602859
controlava,1,477949,602859
controlavel,3,477949,602859
controlo,227,477949,602859
controversa,2,477949,602859
controversia,7,477949,602859
controverso,5,477949,602859
controvert,1,477949,602859
contudo,6,477949,602859
contumaz,2,477949,602859
contundent,2,477949,602859
conturbacao,1,477949,602859
conturbar,6,477949,602859
convalescenca,2,477949,602859
convalescent,1,477949,602859
convalid,1,477949,602859
convalidacao,1,477949,602859
convalidada,1,477949,602859
convalidado,2,477949,602859
convalidar,1,477949,602859
convenc,19,477949,602859
convencao,24,477949,602859
convencelo,2,477949,602859
convencido,4,477949,602859
convencimento,1,477949,602859
convencion,5,477949,602859
convencionar,3,477949,602859
convenco,1,477949,602859
conveniada,3,477949,602859
conveniado,1,477949,602859
conveniencia,5,477949,602859
convenient,5,477949,602859
convenio,10,477949,602859
convergencia,2,477949,602859
convergent,1,477949,602859
convergir,2,477949,602859
convers,1,477949,602859
conversa,22,477949,602859
conversacao,1,477949,602859
conversamo,1,477949,602859
conversando,1,477949,602859
conversao,6,477949,602859
conversar,110,477949,602859
conversaram,3,477949,602859
conversei,2,477949,602859
conversinha,1,477949,602859
converso,154,477949,602859
convert,8,477949,602859
convertido,5,477949,602859
conviccao,11,477949,602859
convicto,4,477949,602859
convidada,1,477949,602859
convidado,3,477949,602859
convidar,68,477949,602859
convidecia,2,477949,602859
convincent,1,477949,602859
convir,5,477949,602859
convit,37,477949,602859
conviv,21,477949,602859
convivencia,7,477949,602859
convivio,7,477949,602859
convocacao,20,477949,602859
convocada,2,477949,602859
convocado,3,477949,602859
convocalo,1,477949,602859
convocar,47,477949,602859
convocatorio,1,477949,602859
convulsao,3,477949,602859
convulsivo,1,477949,602859
conway,1,477949,602859
cook,11,477949,602859
cooper,1,477949,602859
coopera,1,477949,602859
cooperacao,37,477949,602859
cooperalianca,1,477949,602859
cooperar,5,477949,602859
cooperativa,2,477949,602859
cooperativo,9,477949,602859
cooptacao,2,477949,602859
cooptar,2,477949,602859
coorden,1,477949,602859
coordena,1,477949,602859
coordenacao,53,477949,602859
coordenacaoger,4,477949,602859
coordenada,5,477949,602859
coordenador,105,477949,602859
coordenadora,5,477949,602859
coordenadorager,2,477949,602859
coordenadorexecutivo,4,477949,602859
coordenadorger,4,477949,602859
coordenadoria,2,477949,602859
coordenadorno,1,477949,602859
coordenar,57,477949,602859
coordin,1,477949,602859
coort,5,477949,602859
cop26,1,477949,602859
copacabana,28,477949,602859
copar,24,477949,602859
copasa,1,477949,602859
copatrocinara,1,477949,602859
copelli,1,477949,602859
copenhaga,1,477949,602859
copenhagen,1,477949,602859
copenhagu,3,477949,602859
copia,16,477949,602859
copiaecola,1,477949,602859
copiar,3,477949,602859
copiarem,1,477949,602859
copo,2,477949,602859
copom,4,477949,602859
copp,4,477949,602859
copped,1,477949,602859
coproprietario,1,477949,602859
coqueluch,2,477949,602859
coquetel,8,477949,602859
cor,7,477949,602859
coracao,53,477949,602859
coraco,1,477949,602859
coragem,8,477949,602859
corajosament,1,477949,602859
corajoso,9,477949,602859
coranviru,1,477949,602859
corar,23,477949,602859
corcovar,7,477949,602859
cord,1,477949,602859
cordao,2,477949,602859
cordeiro,4,477949,602859
cordero,4,477949,602859
cordial,2,477949,602859
cordo,6,477949,602859
cordoba,1,477949,602859
cordon,1,477949,602859
coreana,1,477949,602859
coreano,4,477949,602859
coreia,39,477949,602859
corem,3,477949,602859
corema,1,477949,602859
coremu,3,477949,602859
coreografia,1,477949,602859
corfu,1,477949,602859
coric,1,477949,602859
corinthian,9,477949,602859
corintiano,1,477949,602859
coritiba,1,477949,602859
coriza,7,477949,602859
cornel,3,477949,602859
cornelia,1,477949,602859
corner,2,477949,602859
cornich,1,477949,602859
coroacao,1,477949,602859
coroadinho,5,477949,602859
coroamento,3,477949,602859
coroar,5,477949,602859
corona,15,477949,602859
coronainsonia,1,477949,602859
coronaomica,3,477949,602859
coronasomnia,1,477949,602859
coronavac,234,477949,602859
coronaverificado,2,477949,602859
coronavictim,3,477949,602859
coronaviru,3352,477949,602859
coronavirusa,1,477949,602859
coronavirusacho,1,477949,602859
coronavirusalem,1,477949,602859
coronavirusau,1,477949,602859
coronavirusbreakmdash,1,477949,602859
coronaviruso,2,477949,602859
coronavirussegundo,1,477949,602859
coronavirussh,1,477949,602859
coronavitima,1,477949,602859
coronavouch,1,477949,602859
coronel,24,477949,602859
corp,2,477949,602859
corpo,170,477949,602859
corpor,11,477949,602859
corporacao,15,477949,602859
corporaco,2,477949,602859
corporativa,1,477949,602859
corporativista,3,477949,602859
corporativo,7,477949,602859
corpu,37,477949,602859
correa,8,477949,602859
correar,13,477949,602859
correcao,11,477949,602859
correcion,1,477949,602859
correcionai,1,477949,602859
correco,2,477949,602859
correct,1,477949,602859
corredor,17,477949,602859
corregedor,5,477949,602859
corregedora,2,477949,602859
corregedorager,1,477949,602859
corregedorger,2,477949,602859
corregedoria,13,477949,602859
corregedoriager,1,477949,602859
corrego,3,477949,602859
correia,1,477949,602859
correio,15,477949,602859
correlacao,5,477949,602859
correlacionar,1,477949,602859
correlata,1,477949,602859
correligionario,2,477949,602859
corremo,2,477949,602859
correndo,1,477949,602859
correntista,1,477949,602859
correr,77,477949,602859
correram,2,477949,602859
corres,1,477949,602859
correspond,63,477949,602859
correspondencia,1,477949,602859
correspondent,40,477949,602859
correspondera,1,477949,602859
corresponsavel,2,477949,602859
correta,1,477949,602859
corretament,10,477949,602859
corretar,33,477949,602859
correto,3,477949,602859
corretor,8,477949,602859
correu,1,477949,602859
corrida,5,477949,602859
corrido,57,477949,602859
corrier,2,477949,602859
corrig,1,477949,602859
corrigido,1,477949,602859
corrigir,25,477949,602859
corrimao,2,477949,602859
corrimento,1,477949,602859
corriqueiro,5,477949,602859
corroborar,5,477949,602859
corromp,4,477949,602859
corrosao,2,477949,602859
corrupcao,84,477949,602859
corrupto,4,477949,602859
corruptor,1,477949,602859
cort,60,477949,602859
cortando,1,477949,602859
cortar,188,477949,602859
cortejar,1,477949,602859
cortesia,1,477949,602859
cortez,2,477949,602859
cortica,1,477949,602859
corticoid,9,477949,602859
cortina,1,477949,602859
cortinar,5,477949,602859
cortisol,2,477949,602859
cortou,2,477949,602859
coruna,2,477949,602859
cosem,1,477949,602859
cosemssp,1,477949,602859
cosm,1,477949,602859
cosmetico,3,477949,602859
cosmiatria,1,477949,602859
cosmico,1,477949,602859
cosmonauta,1,477949,602859
cossaboom,1,477949,602859
cossina,1,477949,602859
costa,103,477949,602859
costantino,1,477949,602859
costeira,1,477949,602859
costeiro,4,477949,602859
costo,1,477949,602859
costum,9,477949,602859
costuma,1,477949,602859
costumam,3,477949,602859
costumar,44,477949,602859
costumavam,1,477949,602859
costumeirament,2,477949,602859
costumeiro,1,477949,602859
costumo,1,477949,602859
costurar,7,477949,602859
cotacao,9,477949,602859
cotado,1,477949,602859
cotar,32,477949,602859
cotia,1,477949,602859
cotidiano,15,477949,602859
cotio,2,477949,602859
cotista,1,477949,602859
cotonet,7,477949,602859
cotovelo,1,477949,602859
cotrim,1,477949,602859
cotton,1,477949,602859
coub,1,477949,602859
count,2,477949,602859
counti,1,477949,602859
countri,3,477949,602859
coup,1,477949,602859
coupvray,2,477949,602859
cour,1,477949,602859
couro,4,477949,602859
courtney,1,477949,602859
coururip,1,477949,602859
coutar,2,477949,602859
coutinho,11,477949,602859
couv,1,477949,602859
cov2,9,477949,602859
cova,217,477949,602859
covard,5,477949,602859
covardia,1,477949,602859
covatti,1,477949,602859
covax,44,477949,602859
covaxin,12,477949,602859
covd19,1,477949,602859
coveiro,1,477949,602859
cover,2,477949,602859
covereadora,2,477949,602859
covid,308,477949,602859
covid019,1,477949,602859
covid10,1,477949,602859
covid19,3418,477949,602859
covid19a,4,477949,602859
covid19em,3,477949,602859
covid19fbi,1,477949,602859
covid19na,2,477949,602859
covid19o,3,477949,602859
covid19senador,1,477949,602859
covid2,1,477949,602859
covid9,1,477949,602859
covidario,1,477949,602859
covidinsonia,1,477949,602859
covidlock,1,477949,602859
covidorg,1,477949,602859
covington,1,477949,602859
covisa,1,477949,602859
covishield,4,477949,602859
cowan,1,477949,602859
coxia,1,477949,602859
coxo,1,477949,602859
cozinhar,18,477949,602859
cozinheiro,1,477949,602859
cozzolino,2,477949,602859
cp,1,477949,602859
cpdoc,1,477949,602859
cpf,21,477949,602859
cpi,315,477949,602859
cpim,2,477949,602859
cpm,2,477949,602859
cpmf,10,477949,602859
cpmi,4,477949,602859
cpp,2,477949,602859
cpt,2,477949,602859
cptm,4,477949,602859
cqc,1,477949,602859
cr,3,477949,602859
cra,1,477949,602859
cracha,2,477949,602859
crack,2,477949,602859
craco,1,477949,602859
cracolandia,7,477949,602859
craig,1,477949,602859
craniano,1,477949,602859
cranio,1,477949,602859
craqu,5,477949,602859
cratera,4,477949,602859
cravar,4,477949,602859
cravioto,1,477949,602859
crazi,1,477949,602859
crc,1,477949,602859
cre,1,477949,602859
creatividad,1,477949,602859
crech,9,477949,602859
credenci,3,477949,602859
credencia,1,477949,602859
credenciado,3,477949,602859
credenciam,1,477949,602859
credenciamento,1,477949,602859
credenciar,1,477949,602859
credenti,2,477949,602859
credibilidad,16,477949,602859
credidio,1,477949,602859
credit,3,477949,602859
credita,1,477949,602859
creditado,1,477949,602859
creditalo,1,477949,602859
creditar,1,477949,602859
credito,103,477949,602859
credo,1,477949,602859
credor,3,477949,602859
creeengrand,1,477949,602859
creem,1,477949,602859
crefisa,1,477949,602859
cremacao,2,477949,602859
cremar,2,477949,602859
crematorio,3,477949,602859
creme,2,477949,602859
cremesp,3,477949,602859
cremonesi,1,477949,602859
crenca,7,477949,602859
crendic,1,477949,602859
crent,1,477949,602859
crepe,1,477949,602859
crepori,1,477949,602859
crepyenvaloi,1,477949,602859
crer,9,477949,602859
crescam,1,477949,602859
crescendo,2,477949,602859
crescent,44,477949,602859
crescer,130,477949,602859
cresceram,1,477949,602859
cresceu,4,477949,602859
crescimento,159,477949,602859
crespar,1,477949,602859
creta,1,477949,602859
cretaceo,1,477949,602859
creteil,1,477949,602859
crfsp,1,477949,602859
cria,4,477949,602859
criacao,76,477949,602859
criacionismo,1,477949,602859
criaco,3,477949,602859
criada,5,477949,602859
criado,4,477949,602859
criador,14,477949,602859
criadora,1,477949,602859
criadouro,3,477949,602859
criamo,2,477949,602859
criams,1,477949,602859
crianca,333,477949,602859
criando,1,477949,602859
criar,321,477949,602859
criaram,2,477949,602859
criarem,1,477949,602859
criativa,2,477949,602859
criatividad,4,477949,602859
criativo,10,477949,602859
criatura,3,477949,602859
criciuma,2,477949,602859
crime,194,477949,602859
crimin,38,477949,602859
criminalidad,2,477949,602859
criminalista,3,477949,602859
criminalistica,3,477949,602859
criminalizacao,4,477949,602859
criminalizar,4,477949,602859
criminalment,1,477949,602859
criminar,13,477949,602859
criminosa,9,477949,602859
criminosament,2,477949,602859
criminoso,49,477949,602859
crioeletronica,1,477949,602859
criogenico,1,477949,602859
criou,3,477949,602859
criptografado,1,477949,602859
criptomoeda,4,477949,602859
criquet,1,477949,602859
crise,483,477949,602859
crisol,1,477949,602859
crispin,1,477949,602859
cristal,1,477949,602859
cristalino,1,477949,602859
cristalizar,1,477949,602859
cristandad,1,477949,602859
cristao,10,477949,602859
cristian,7,477949,602859
cristiana,4,477949,602859
cristianismo,1,477949,602859
cristiano,17,477949,602859
cristin,1,477949,602859
cristina,22,477949,602859
cristo,15,477949,602859
cristofobia,3,477949,602859
cristovao,2,477949,602859
criterio,75,477949,602859
criterioso,5,477949,602859
critic,9,477949,602859
critica,12,477949,602859
criticado,3,477949,602859
criticando,2,477949,602859
criticandoo,2,477949,602859
criticar,240,477949,602859
criticaram,4,477949,602859
criticava,1,477949,602859
critico,197,477949,602859
critt,2,477949,602859
crivar,3,477949,602859
crivei,1,477949,602859
crivel,1,477949,602859
crivela,1,477949,602859
crivella,96,477949,602859
crivo,1,477949,602859
crm,2,477949,602859
croacio,3,477949,602859
crocier,2,477949,602859
croda,4,477949,602859
crohn,3,477949,602859
cronica,30,477949,602859
cronico,1,477949,602859
cronicodegenerativa,1,477949,602859
cronista,1,477949,602859
cronograma,59,477949,602859
cronogramaao,1,477949,602859
cronologicament,1,477949,602859
cronometro,2,477949,602859
croo,1,477949,602859
cross,2,477949,602859
crossfit,1,477949,602859
crossfiteiro,1,477949,602859
crosta,7,477949,602859
crowcroft,1,477949,602859
crowd,1,477949,602859
crowdfund,1,477949,602859
crowley,1,477949,602859
cru,2,477949,602859
cruciai,3,477949,602859
crucial,11,477949,602859
cruciar,5,477949,602859
crucificar,1,477949,602859
crucifixo,1,477949,602859
cruel,9,477949,602859
crueza,1,477949,602859
cruis,2,477949,602859
crush,1,477949,602859
cruso,4,477949,602859
cruyff,2,477949,602859
cruz,126,477949,602859
cruzamento,5,477949,602859
cruzar,23,477949,602859
cruzarem,1,477949,602859
cruze,3,477949,602859
cruzeiro,36,477949,602859
cruzeirosja,1,477949,602859
cruzi,1,477949,602859
cruzmaltino,4,477949,602859
cruzou,1,477949,602859
crystal,1,477949,602859
csd,1,477949,602859
csi300,2,477949,602859
csiro,1,477949,602859
csll,5,477949,602859
csmpf,3,477949,602859
csn,5,477949,602859
ct,7,477949,602859
ctav,1,477949,602859
ctb,2,477949,602859
cti,3,477949,602859
ctv,1,477949,602859
cu,1,477949,602859
cubano,13,477949,602859
cubanoamericano,1,477949,602859
cubar,7,477949,602859
cubatao,2,477949,602859
cuber,2,477949,602859
cubico,4,477949,602859
cubra,1,477949,602859
cucumb,1,477949,602859
cueca,11,477949,602859
cueiro,1,477949,602859
cufa,9,477949,602859
cuhk,1,477949,602859
cuiaba,8,477949,602859
cuidado,10,477949,602859
cuidador,12,477949,602859
cuidadosament,3,477949,602859
cuidadoso,6,477949,602859
cuidar,228,477949,602859
cuidems,1,477949,602859
cuidou,1,477949,602859
cuja,6,477949,602859
cujo,2,477949,602859
cukier,1,477949,602859
cule,1,477949,602859
culinario,2,477949,602859
culminar,7,477949,602859
culpa,1,477949,602859
culpada,1,477949,602859
culpalo,1,477949,602859
culpar,33,477949,602859
culposo,8,477949,602859
cultivada,1,477949,602859
cultivar,11,477949,602859
cultivo,1,477949,602859
culto,32,477949,602859
cultur,33,477949,602859
cultura,64,477949,602859
culturai,2,477949,602859
cum,2,477949,602859
cumbica,1,477949,602859
cumpr,2,477949,602859
cumpra,1,477949,602859
cumpram,2,477949,602859
cumpras,1,477949,602859
cumprem,2,477949,602859
cumpria,1,477949,602859
cumprida,3,477949,602859
cumprido,2,477949,602859
cumpridor,1,477949,602859
cumprila,2,477949,602859
cumpriment,1,477949,602859
cumprimentar,47,477949,602859
cumprimentei,1,477949,602859
cumprimento,3,477949,602859
cumprindo,1,477949,602859
cumprir,187,477949,602859
cumprira,1,477949,602859
cumpston,1,477949,602859
cunhar,33,477949,602859
cunho,1,477949,602859
cunillera,2,477949,602859
cuomo,20,477949,602859
cupom,1,477949,602859
cupula,52,477949,602859
cura,3,477949,602859
curacao,1,477949,602859
curada,4,477949,602859
curado,1,477949,602859
curadoria,1,477949,602859
curala,1,477949,602859
curar,124,477949,602859
curaram,1,477949,602859
curativo,4,477949,602859
curevac,2,477949,602859
curi,8,477949,602859
curia,1,477949,602859
curima,1,477949,602859
curio,2,477949,602859
curiosament,1,477949,602859
curiosidad,8,477949,602859
curioso,3,477949,602859
curitiba,81,477949,602859
curitibano,1,477949,602859
curous,1,477949,602859
currai,1,477949,602859
current,1,477949,602859
curricular,10,477949,602859
curriculo,24,477949,602859
cursar,54,477949,602859
curseria,1,477949,602859
curso,18,477949,602859
curtir,33,477949,602859
curto,18,477949,602859
curtoscircuito,1,477949,602859
curva,3,477949,602859
curvar,1,477949,602859
curvello,2,477949,602859
curvelo,1,477949,602859
curvo,57,477949,602859
cusco,2,477949,602859
cuspir,4,477949,602859
custa,3,477949,602859
custar,65,477949,602859
custear,28,477949,602859
custearem,1,477949,602859
custeio,2,477949,602859
custo,23,477949,602859
custobeneficio,3,477949,602859
custodia,2,477949,602859
