word,words_total_appear_in_group,words_total_in_group_without_stop_words,words_total_in_group_with_stop_words
acess,27,477949,602859
acessada,3,477949,602859
acessado,7,477949,602859
acessala,1,477949,602859
acessam,1,477949,602859
acessando,1,477949,602859
acessao,1,477949,602859
acessar,15,477949,602859
acessass,1,477949,602859
acesseaqui,4,477949,602859
acesseaquieaqui,1,477949,602859
acesseaquio,1,477949,602859
acessibilidad,1,477949,602859
acessivei,1,477949,602859
acessivel,8,477949,602859
acesso,292,477949,602859
acessorio,19,477949,602859
acha,4,477949,602859
acham,2,477949,602859
achar,204,477949,602859
acharam,2,477949,602859
acharem,1,477949,602859
achatada,1,477949,602859
achatamento,4,477949,602859
achava,1,477949,602859
achavam,1,477949,602859
achei,1,477949,602859
achim,1,477949,602859
achincalhar,3,477949,602859
achismo,2,477949,602859
achium,1,477949,602859
acho,4,477949,602859
achocolatar,1,477949,602859
achou,1,477949,602859
achuy,1,477949,602859
acident,18,477949,602859
acidentalment,1,477949,602859
acidentar,14,477949,602859
acido,7,477949,602859
acima,168,477949,602859
acint,2,477949,602859
acintoso,1,477949,602859
acinzentado,1,477949,602859
acioli,1,477949,602859
acion,13,477949,602859
aciona,1,477949,602859
acionada,4,477949,602859
acionado,6,477949,602859
acionar,11,477949,602859
acionaram,5,477949,602859
acionaria,3,477949,602859
acionario,2,477949,602859
acionista,14,477949,602859
acirrado,1,477949,602859
acirramento,1,477949,602859
acirrando,1,477949,602859
acirrar,2,477949,602859
aclamar,3,477949,602859
acm,15,477949,602859
acn,2,477949,602859
acnur,1,477949,602859
aco,411,477949,602859
acobertar,3,477949,602859
acodamento,1,477949,602859
acodar,1,477949,602859
acola,1,477949,602859
acolh,18,477949,602859
acolhedor,3,477949,602859
acolherar,2,477949,602859
acolheu,1,477949,602859
acolhido,4,477949,602859
acolhimento,15,477949,602859
acomet,13,477949,602859
acometimento,1,477949,602859
acomodar,9,477949,602859
acompanh,1,477949,602859
acompanha,4,477949,602859
acompanhado,1,477949,602859
acompanhala,1,477949,602859
acompanhalo,1,477949,602859
acompanhamento,76,477949,602859
acompanhando,1,477949,602859
acompanhant,5,477949,602859
acompanhar,198,477949,602859
acompanharam,1,477949,602859
acompanhei,1,477949,602859
aconchegar,1,477949,602859
acondicionamento,1,477949,602859
acondrito,1,477949,602859
aconseguirem,1,477949,602859
aconselhada,1,477949,602859
aconselhamento,12,477949,602859
aconselhar,20,477949,602859
acontec,417,477949,602859
aconteca,2,477949,602859
acontecendo,1,477949,602859
aconteceno,1,477949,602859
aconteceram,1,477949,602859
acontecerao,1,477949,602859
aconteceu,13,477949,602859
acontecido,2,477949,602859
acontecimento,9,477949,602859
acoplado,4,477949,602859
acoplar,1,477949,602859
acordao,6,477949,602859
acordar,990,477949,602859
acordeon,2,477949,602859
acordo,125,477949,602859
acorrentams,1,477949,602859
acostum,1,477949,602859
acostumar,19,477949,602859
acostumara,1,477949,602859
acr,27,477949,602859
acreano,1,477949,602859
acredit,1,477949,602859
acredita,7,477949,602859
acreditacao,1,477949,602859
acreditam,4,477949,602859
acreditamo,1,477949,602859
acreditando,1,477949,602859
acreditar,185,477949,602859
acreditas,3,477949,602859
acredito,3,477949,602859
acresc,2,477949,602859
acrescent,19,477949,602859
acrescentapossivei,1,477949,602859
acrescentar,162,477949,602859
acrescentaram,1,477949,602859
acrescentousem,1,477949,602859
acrescido,1,477949,602859
acrescimo,8,477949,602859
acrilex,2,477949,602859
acrilico,2,477949,602859
acriterioso,1,477949,602859
act,4,477949,602859
action,1,477949,602859
actor,2,477949,602859
acucar,8,477949,602859
acudir,1,477949,602859
acumulada,2,477949,602859
acumulado,4,477949,602859
acumulador,2,477949,602859
acumulams,1,477949,602859
acumular,62,477949,602859
acumulativo,1,477949,602859
acumulo,5,477949,602859
acupuntura,1,477949,602859
acupunturista,1,477949,602859
acus,2,477949,602859
acusa,4,477949,602859
acusacao,82,477949,602859
acusaco,7,477949,602859
acusacoescova,1,477949,602859
acusada,3,477949,602859
acusado,11,477949,602859
acusador,1,477949,602859
acusam,2,477949,602859
acusams,1,477949,602859
acusando,1,477949,602859
acusandoo,2,477949,602859
acusar,145,477949,602859
acustico,2,477949,602859
ad,1,477949,602859
ad26cov2,1,477949,602859
ad5ncov,1,477949,602859
adagio,3,477949,602859
adalberto,3,477949,602859
adalgisa,1,477949,602859
adalmir,1,477949,602859
adam,2,477949,602859
adaptacao,16,477949,602859
adaptaco,2,477949,602859
adaptada,1,477949,602859
adaptado,2,477949,602859
adaptando,1,477949,602859
adaptandoo,1,477949,602859
adaptandos,1,477949,602859
adaptar,36,477949,602859
adaptavel,1,477949,602859
adar,1,477949,602859
adbelmassih,1,477949,602859
addit,1,477949,602859
address,1,477949,602859
adelio,8,477949,602859
adelvanio,1,477949,602859
ademir,2,477949,602859
adenoviru,7,477949,602859
adentrar,3,477949,602859
adepto,5,477949,602859
adequacao,5,477949,602859
adequada,2,477949,602859
adequadament,5,477949,602859
adequado,4,477949,602859
adequar,79,477949,602859
adequass,1,477949,602859
aderecar,1,477949,602859
aderir,37,477949,602859
aderiram,2,477949,602859
adesao,26,477949,602859
adesivaco,1,477949,602859
adesivo,5,477949,602859
adeyemi,1,477949,602859
adhanom,39,477949,602859
adhanon,1,477949,602859
adiada,1,477949,602859
adiado,3,477949,602859
adiala,1,477949,602859
adiamento,49,477949,602859
adiamo,1,477949,602859
adiant,1,477949,602859
adianta,1,477949,602859
adiantado,1,477949,602859
adiantam,1,477949,602859
adiantamento,3,477949,602859
adiantar,58,477949,602859
adiar,92,477949,602859
adib,1,477949,602859
adicao,4,477949,602859
adicion,29,477949,602859
adicionado,1,477949,602859
adicionai,2,477949,602859
adicionalment,1,477949,602859
adicionar,51,477949,602859
adicionavestido,1,477949,602859
adig,2,477949,602859
adilson,2,477949,602859
adin,1,477949,602859
adiposo,1,477949,602859
adir,17,477949,602859
aditivo,6,477949,602859
adivinhar,3,477949,602859
adjacent,2,477949,602859
adjunto,10,477949,602859
adjuvant,1,477949,602859
adm,3,477949,602859
administr,6,477949,602859
administra,1,477949,602859
administracao,99,477949,602859
administrada,2,477949,602859
administrado,3,477949,602859
administrador,13,477949,602859
administradora,1,477949,602859
administradorassociado,1,477949,602859
administram,1,477949,602859
administrar,53,477949,602859
administrativa,9,477949,602859
administrativament,1,477949,602859
administrativo,101,477949,602859
administravel,1,477949,602859
adminstr,1,477949,602859
admirador,2,477949,602859
admirar,3,477949,602859
admiravel,4,477949,602859
admissao,6,477949,602859
admissibilidad,3,477949,602859
admissivel,1,477949,602859
admitido,1,477949,602859
admitir,93,477949,602859
admitiram,1,477949,602859
admitiu,5,477949,602859
admitiuqu,1,477949,602859
adocao,43,477949,602859
adoec,15,477949,602859
adoecam,1,477949,602859
adoecia,1,477949,602859
adoecimento,1,477949,602859
adolesc,2,477949,602859
adolescencia,7,477949,602859
adolescent,64,477949,602859
adolf,3,477949,602859
adolfo,19,477949,602859
adoni,2,477949,602859
adorando,1,477949,602859
adorar,6,477949,602859
adormec,4,477949,602859
adorno,2,477949,602859
adot,26,477949,602859
adota,8,477949,602859
adotada,108,477949,602859
adotado,46,477949,602859
adotam,2,477949,602859
adotamo,2,477949,602859
adotando,11,477949,602859
adotar,49,477949,602859
adotara,7,477949,602859
adotaram,12,477949,602859
adotarem,7,477949,602859
adotassem,3,477949,602859
adotem,4,477949,602859
adotemo,1,477949,602859
adotiva,1,477949,602859
adoto,1,477949,602859
adpf,5,477949,602859
