word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
consistencia,30,26,86.66666666666667,1,3.3333333333333335
viajant,30,27,90,3,10
empatar,30,28,93.33333333333333,0,0
flavia,30,29,96.66666666666667,1,3.3333333333333335
obesidad,30,29,96.66666666666667,1,3.3333333333333335
algun,30,30,100,0,0
ventilatorio,30,30,100,0,0
desgast,31,23,74.19354838709677,4,12.903225806451612
proferir,31,23,74.19354838709677,8,25.806451612903224
goncalo,31,24,77.41935483870968,7,22.58064516129032
minoria,31,24,77.41935483870968,7,22.58064516129032
reflexo,31,24,77.41935483870968,7,22.58064516129032
saudad,31,24,77.41935483870968,7,22.58064516129032
adesao,31,26,83.87096774193549,5,16.129032258064516
goncalv,31,28,90.32258064516128,3,9.677419355
materiaprima,31,28,90.32258064516128,3,9.677419355
fez,31,29,93.54838709677419,1,3.225806451612903
profissionai,31,29,93.54838709677419,1,3.225806451612903
tornear,31,29,93.54838709677419,2,6.451612903225806
apostar,32,23,71.875,9,28.125
cirurgico,32,23,71.875,9,28.125
comprometido,32,23,71.875,9,28.125
interpretar,32,23,71.875,9,28.125
jurista,32,23,71.875,9,28.125
reajust,32,23,71.875,3,9.375
colaborar,32,24,75,8,25
preparacao,32,25,78.125,7,21.875
rigoroso,32,26,81.25,6,18.75
conjunto,32,27,84.375,5,15.625
desigualdad,32,27,84.375,5,15.625
contencao,32,28,87.5,4,12.5
igualitario,32,31,96.875,1,3.125
secretariager,32,31,96.875,1,3.125
gripezinha,33,24,72.72727272727273,9,27.27272727272727
lesao,33,24,72.72727272727273,9,27.27272727272727
equilibrio,33,25,75.75757575757575,4,12.121212121212121
federativo,33,25,75.75757575757575,8,24.242424242424242
preservacao,33,25,75.75757575757575,8,24.242424242424242
ufrj,33,25,75.75757575757575,8,24.242424242424242
montant,33,26,78.78787878787878,7,21.21212121212121
exprefeito,33,27,81.81818181818183,6,18.181818181818183
organizador,33,27,81.81818181818183,1,3.0303030303030303
bastidor,33,28,84.84848484848484,5,15.151515151515152
instaurar,33,28,84.84848484848484,5,15.151515151515152
normalidad,33,28,84.84848484848484,2,6.0606060606060606
reafirmar,33,29,87.87878787878788,4,12.121212121212121
apoio,33,30,90.90909091,1,3.0303030303030303
michael,34,24,70.58823529411765,10,29.411764705882355
reclamacao,34,24,70.58823529411765,10,29.411764705882355
impulsionar,34,25,73.52941176470588,9,26.47058823529412
privilegiar,34,25,73.52941176470588,9,26.47058823529412
pslrj,34,25,73.52941176470588,9,26.47058823529412
ramagem,34,27,79.41176470588235,7,20.588235294117645
medeiro,34,28,82.35294117647058,6,17.647058823529413
molecular,34,28,82.35294117647058,6,17.647058823529413
deflagrar,34,29,85.29411764705883,5,14.705882352941178
aumento,34,31,91.17647058823529,3,8.823529411764707
descumprir,35,25,71.42857142857143,10,28.57142857142857
enfatizar,35,26,74.28571428571429,9,25.71428571428571
saneamento,35,27,77.14285714285715,8,22.857142857142858
guarulho,35,28,80,7,20
periferia,35,28,80,1,2.857142857142857
andrew,35,29,82.85714285714286,6,17.142857142857142
depressao,35,29,82.85714285714286,6,17.142857142857142
insuficient,35,29,82.85714285714286,6,17.142857142857142
emergenciai,35,31,88.57142857142857,4,11.428571428571429
triplex,35,31,88.57142857142857,4,11.428571428571429
compilar,35,32,91.42857142857143,3,8.571428571428571
secom,35,33,94.28571428571428,2,5.714285714285714
operacionalizacao,35,34,97.14285714285714,1,2.857142857142857
distant,36,26,72.22222222222221,10,27.77777777777778
guaruja,36,28,77.77777777777779,8,22.22222222222222
improbidad,36,28,77.77777777777779,8,22.22222222222222
bruto,36,29,80.55555555555556,7,19.444444444444446
depressa,36,29,80.55555555555556,6,16.666666666666664
letalidad,36,29,80.55555555555556,7,19.444444444444446
reafirm,36,29,80.55555555555556,4,11.11111111111111
surto,36,29,80.55555555555556,3,8.333333333333332
unanimidad,36,29,80.55555555555556,7,19.444444444444446
paralelo,36,30,83.33333333333334,6,16.666666666666664
privatizacao,36,30,83.33333333333334,6,16.666666666666664
rossi,36,30,83.33333333333334,1,2.7777777777777777
aliviar,36,31,86.11111111111111,5,13.88888888888889
temor,36,31,86.11111111111111,4,11.11111111111111
vieira,36,31,86.11111111111111,5,13.88888888888889
dificultar,36,33,91.66666666666666,3,8.333333333333332
orcamentaria,36,33,91.66666666666666,3,8.333333333333332
publicoalvo,36,33,91.66666666666666,3,8.333333333333332
advocaciager,36,34,94.44444444444444,2,5.555555555555555
governista,36,34,94.44444444444444,2,5.555555555555555
habea,36,34,94.44444444444444,2,5.555555555555555
confirmado,36,35,97.22222222222221,1,2.7777777777777777
desigu,37,27,72.97297297297297,5,13.513513513513514
organizado,37,27,72.97297297297297,1,2.7027027027027026
lelo,37,30,81.08108108108108,6,16.216216216216218
sudest,37,31,83.78378378378379,6,16.216216216216218
expansao,37,32,86.48648648648648,5,13.513513513513514
limitacao,37,32,86.48648648648648,4,10.81081081081081
interrupcao,37,33,89.18918919,4,10.81081081081081
interlocutor,37,34,91.89189189,3,8.108108108108109
relaxamento,37,37,100,0,0
machadar,38,28,73.68421052631578,10,26.31578947368421
rastreamento,38,30,78.94736842105263,8,21.052631578947366
armazenamento,38,31,81.57894736842105,7,18.421052631578945
chefiar,38,31,81.57894736842105,7,18.421052631578945
dificulta,38,33,86.84210526,3,7.894736842105263
quatro,38,33,86.84210526,5,13.157894736842104
incerteza,38,35,92.10526315789474,3,7.894736842105263
onyx,38,35,92.10526315789474,3,7.894736842105263
modelo,39,29,74.35897435897436,8,20.51282051282051
prescricao,39,30,76.92307692307693,8,20.51282051282051
precaucao,39,31,79.48717948717949,8,20.51282051282051
imitacao,39,32,82.05128205128204,4,10.256410256410255
excecao,39,33,84.61538461538461,6,15.384615384615385
publicoa,39,33,84.61538461538461,3,7.6923076923076925
revogar,40,28,70,12,30
aspecto,40,30,75,10,25
cronica,40,30,75,10,25
proprio,40,30,75,1,2.5
hospitalizacao,40,33,82.5,7,17.5
sugestao,40,34,85,6,15
patamar,40,35,87.5,5,12.5
informaco,40,36,90,1,2.5
interino,40,36,90,4,10
jornada,40,36,90,4,10
perspectivo,40,36,90,4,10
corpu,40,37,92.5,3,7.5
visitant,40,37,92.5,3,7.5
serao,40,38,95,1,2.5
tramitar,40,38,95,2,5
gabbardo,40,40,100,0,0
observacao,41,30,73.17073170731707,11,26.82926829268293
pereira,41,30,73.17073170731707,10,24.390243902439025
contagioso,41,32,78.04878048780488,9,21.951219512195124
temporariament,41,32,78.04878048780488,9,21.951219512195124
ibg,41,34,82.92682926829268,7,17.073170731707318
sociai,41,35,85.36585365853658,1,2.4390243902439024
comunitario,41,36,87.80487805,5,12.195121951219512
inovacao,41,36,87.80487805,5,12.195121951219512
mdbal,41,38,92.68292683,1,2.4390243902439024
salao,42,30,71.42857142857143,7,16.666666666666664
individuar,42,31,73.80952380952381,11,26.190476190476193
certeza,42,35,83.33333333333334,3,7.142857142857142
caxia,42,36,85.71428571428571,6,14.285714285714285
proximo,42,37,88.09523809523809,1,2.380952380952381
ultimo,42,37,88.09523809523809,3,7.142857142857142
resultado,42,40,95.23809523809523,1,2.380952380952381
almeida,43,31,72.09302325581395,12,27.906976744186046
universitario,43,31,72.09302325581395,12,27.906976744186046
contemplar,43,32,74.41860465,11,25.581395348837212
reconhecimento,43,32,74.41860465,11,25.581395348837212
sabatino,43,33,76.74418604651163,10,23.25581395348837
submetido,43,37,86.04651162790698,6,13.953488372093023
indicador,43,39,90.69767441860465,4,9.302325581
recuar,43,41,95.34883720930233,2,4.651162790697675
turistico,44,32,72.72727272727273,12,27.27272727272727
oferecido,44,36,81.81818181818183,8,18.181818181818183
interferencia,44,37,84.09090909,7,15.909090909090908
mandatario,44,37,84.09090909,7,15.909090909090908
precedent,44,37,84.09090909,7,15.909090909090908
intubacao,44,38,86.36363636363636,6,13.636363636363635
flexibilizar,44,43,97.72727272727273,1,2.272727272727273
fabricacao,45,32,71.11111111111111,13,28.888888888888886
diretoria,45,33,73.33333333333333,12,26.666666666666668
expressar,45,33,73.33333333333333,12,26.666666666666668
tesourar,45,33,73.33333333333333,12,26.666666666666668
claudio,45,34,75.55555555555556,11,24.444444444444443
resistencia,45,34,75.55555555555556,11,24.444444444444443
fundamentar,45,35,77.77777777777779,10,22.22222222222222
juro,45,36,80,9,20
gestant,45,41,91.11111111111111,4,8.888888889
tucano,45,42,93.33333333333333,3,6.666666666666667
deltan,46,34,73.91304347826086,1,2.1739130434782608
roraima,46,34,73.91304347826086,1,2.1739130434782608
definitivo,46,36,78.26086956521739,10,21.73913043478261
sobretudo,46,36,78.26086956521739,10,21.73913043478261
desvio,46,38,82.60869565,8,17.391304347826086
sido,46,38,82.60869565,1,2.1739130434782608
atendido,46,40,86.95652173913044,1,2.1739130434782608
duqu,46,42,91.30434782608695,4,8.695652173913043
demap,46,44,95.65217391304348,2,4.3478260869565215
colombio,47,33,70.21276596,14,29.78723404255319
posicionamento,47,33,70.21276596,14,29.78723404255319
cooperacao,47,37,78.72340425531915,1,2.127659574468085
exjuiz,47,37,78.72340425531915,10,21.27659574468085
correspondent,47,40,85.10638298,7,14.893617021276595
itamarati,47,40,85.10638298,7,14.893617021276595
porqu,47,41,87.23404255,1,2.127659574468085
anteontem,47,46,97.87234042553192,1,2.127659574468085
demmg,47,47,100,0,0
habito,48,34,70.83333333333334,14,29.166666666666668
exportacao,48,37,77.08333333333334,11,22.916666666666664
journal,48,37,77.08333333333334,11,22.916666666666664
enfermagem,48,39,81.25,9,18.75
abba,48,40,83.33333333333334,4,8.333333333333332
contribuicao,48,41,85.41666666666666,7,14.583333333333334
deslocamento,48,46,95.83333333333334,2,4.166666666666666
arrecadar,49,35,71.42857142857143,14,28.57142857142857
plantao,49,35,71.42857142857143,14,28.57142857142857
preced,49,37,75.51020408163265,1,2.0408163265306123
emprestimo,49,38,77.55102040816327,11,22.448979591836736
indicado,49,39,79.59183673469387,4,8.163265306
inedito,49,39,79.59183673469387,10,20.408163265306122
inclusao,49,41,83.67346939,8,16.32653061
comorbidad,49,42,85.71428571428571,7,14.285714285714285
extensao,49,43,87.75510204081633,6,12.244897959183673
kassio,49,49,100,0,0
delacao,50,36,72,14,28.000000000000004
movimentacao,50,37,74,13,26
colegio,50,38,76,12,24
adhanom,50,39,78,11,22
coreia,50,39,78,11,22
diminuicao,50,39,78,11,22
florido,50,39,78,11,22
implementacao,50,39,78,11,22
remessar,50,41,82,6,12
alerj,50,42,84,8,16
fornecimento,50,45,90,5,10
rachadinha,50,48,96,1,2
marinhar,51,36,70.58823529411765,15,29.411764705882355
sentenca,51,36,70.58823529411765,15,29.411764705882355
toquio,51,36,70.58823529411765,15,29.411764705882355
extraordinario,51,40,78.43137254901961,11,21.568627450980394
ampliacao,51,43,84.31372549019608,8,15.686274509803921
adiamento,51,49,96.07843137254902,2,3.9215686274509802
