word,words_total_appear_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_real,percet_strong_word_in_group_fake
abacaxi,0,12,0,0.003692546
abacha,0,1,0,0.000307712
abad,1,76,0.000209227,0.023386126488173082
abadar,0,1,0,0.000307712
abadiania,0,1,0,0.000307712
abadiar,0,1,0,0.000307712
abafando,2,0,0.000418455,0
abafar,12,6,0.002510728,0.001846273
abaixar,181,307,0.037870149,0.094467643
abaixo,1,1,0.000209227,0.000307712
abaixo1,0,2,0,0.000615424
abaixo2,0,1,0,0.000307712
abaixoassinado,1,0,0.000209227,0
abaixodo,0,1,0,0.000307712
abaixonovament,0,1,0,0.000307712
abaixoo,0,1,0,0.000307712
abajularem,0,3,0,0.000923137
abajur,0,2,0,0.000615424
abal,1,1,0.000209227,0.000307712
abalada,1,0,0.000209227,0
abalar,9,5,0.001883046,0.001538561
abalo,1,0,0.000209227,0
abancay,1,0,0.000209227,0
abandon,1,45,0.000209227,0.013847048578523535
abandonada,1,0,0.000209227,0
abandonar,1,45,0.000209227,0.013847048578523535
abandonara,1,0,0.000209227,0
abar,12,1,0.002510728,0.000307712
abarcar,2,0,0.000418455,0
abarrotar,3,2,0.000627682,0.000615424
abastacimento,0,1,0,0.000307712
abastec,1,1,0.000209227,0.000307712
abastecergasolina,0,1,0,0.000307712
abastecido,1,0,0.000209227,0
abastecimento,1,1,0.000209227,0.000307712
abat,1,3,0.000209227,0.000923137
abatedouro,2,1,0.000418455,0.000307712
abatem,1,0,0.000209227,0
abatido,7,3,0.001464591,0.000923137
abatimento,2,0,0.000418455,0
abba,40,4,0.008369094,0.001230849
abbott,3,1,0.000627682,0.000307712
abc,2,1,0.000418455,0.000307712
abco,2,1,0.000418455,0.000307712
abcomm,2,0,0.000418455,0
abcv,2,0,0.000418455,0
abcvac,2,0,0.000418455,0
abd,8,1,0.001673819,0.000307712
abdalla,0,2,0,0.000615424
abdconst,1,0,0.000209227,0
abdel,2,5,0.000418455,0.001538561
abdelmassih,2,5,0.000418455,0.001538561
abdo,8,2,0.001673819,0.000615424
abdomen,1,0,0.000209227,0
abdomin,8,2,0.001673819,0.000615424
abduzir,0,1,0,0.000307712
abead,2,0,0.000418455,0
abeba,0,1,0,0.000307712
abeco,0,1,0,0.000307712
abel,1,30,0.000209227,0.009231366
abelardo,3,1,0.000627682,0.000307712
abelhar,0,5,0,0.001538561
abemaciclib,1,0,0.000209227,0
abenco,7,1,0.001464591,0.000307712
abencoadasreceboinumero,0,1,0,0.000307712
abencoar,7,33,0.001464591,0.010154502
abencoeno,0,1,0,0.000307712
aberr,1,1,0.000209227,0.000307712
aberracao,3,5,0.000627682,0.001538561
aberrant,1,1,0.000209227,0.000307712
abert,4,1,0.000836909,0.000307712
aberta,2,6,0.000418455,0.001846273
abertaa,0,1,0,0.000307712
abertament,7,6,0.001464591,0.001846273
aberto,4,1,0.000836909,0.000307712
abertonao,0,1,0,0.000307712
abertoversao,0,1,0,0.000307712
abertura,123,20,0.025734963353830638,0.006154244
abespinhar,1,0,0.000209227,0
abestado,0,2,0,0.000615424
abhh,0,1,0,0.000307712
abhi,1,0,0.000209227,0
abi,1,1,0.000209227,0.000307712
abiguinho,0,1,0,0.000307712
abilio,3,0,0.000627682,0
abim,2,1,0.000418455,0.000307712
abimaq,3,0,0.000627682,0
abin,3,4,0.000627682,0.001230849
abipla,1,1,0.000209227,0.000307712
abiplast,1,0,0.000209227,0
abismar,5,5,0.001046137,0.001538561
abjd,1,0,0.000209227,0
abjeta,1,0,0.000209227,0
abjeto,0,1,0,0.000307712
abl,1,3,0.000209227,0.000923137
abloh,1,0,0.000209227,0
abm,2,0,0.000418455,0
abnegar,1,0,0.000209227,0
abner,1,0,0.000209227,0
abobora,4,1,0.000836909,0.000307712
abocanhar,2,3,0.000418455,0.000923137
abolicao,0,5,0,0.001538561
abolicionista,1,1,0.000209227,0.000307712
abolir,1,5,0.000209227,0.001538561
abominacao,0,3,0,0.000923137
abominar,0,1,0,0.000307712
abominavel,0,2,0,0.000615424
abonar,3,18,0.000627682,0.005538819
abono,0,1,0,0.000307712
abord,39,28,0.008159866,0.008615941
abordado,1,0,0.000209227,0
abordagem,23,7,0.004812229,0.002153985
abordar,39,28,0.008159866,0.008615941
aborrec,1,1,0.000209227,0.000307712
aborrecimento,1,0,0.000209227,0
abort,1,4,0.000209227,0.001230849
abortamento,0,1,0,0.000307712
abortar,15,41,0.00313841,0.0126162
aborteiro,0,2,0,0.000615424
abortista,0,1,0,0.000307712
aborto,1,4,0.000209227,0.001230849
abou,1,2,0.000209227,0.000615424
about,3,0,0.000627682,0
abpa,1,0,0.000209227,0
abr,1,1,0.000209227,0.000307712
abra,1,1,0.000209227,0.000307712
abraao,0,2,0,0.000615424
abracala,1,0,0.000209227,0
abracalo,1,0,0.000209227,0
abracandos,1,0,0.000209227,0
abracao,1,0,0.000209227,0
abracar,63,53,0.013181323,0.016308746103594386
abraco,1,5,0.000209227,0.001538561
abrade,0,2,0,0.000615424
abrafarma,1,0,0.000209227,0
abraham,21,1,0.004393774,0.000307712
abrahao,2,1,0.000418455,0.000307712
abraidi,2,0,0.000418455,0
abrainc,1,0,0.000209227,0
abraji,2,0,0.000418455,0
abram,1,1,0.000209227,0.000307712
abramet,2,0,0.000418455,0
abran,1,2,0.000209227,0.000615424
abrandamento,1,0,0.000209227,0
abrandar,2,1,0.000418455,0.000307712
abrang,1,2,0.000209227,0.000615424
abrangencia,4,2,0.000836909,0.000615424
abrangent,8,2,0.001673819,0.000615424
abrangido,1,0,0.000209227,0
abrasc,4,1,0.000836909,0.000307712
abrasco,4,1,0.000836909,0.000307712
abrasel,1,1,0.000209227,0.000307712
abraselsp,1,0,0.000209227,0
abrath,1,0,0.000209227,0
abrava,3,0,0.000627682,0
abravanel,3,0,0.000627682,0
abreimpeachmentcau,0,1,0,0.000307712
abrelp,1,0,0.000209227,0
abres,2,2,0.000418455,0.000615424
abreu,19,11,0.00397532,0.003384834
abreviacao,1,9,0.000209227,0.00276941
abreviacoesfinalizar,0,1,0,0.000307712
abreviar,2,3,0.000418455,0.000923137
abrhaao,1,0,0.000209227,0
abriga,1,1,0.000209227,0.000307712
abrigar,1,1,0.000209227,0.000307712
abrigo,3,0,0.000627682,0
abril,4,1,0.000836909,0.000307712
abril19,0,1,0,0.000307712
abril20,0,1,0,0.000307712
abril2020,0,1,0,0.000307712
abrilmaio,1,1,0.000209227,0.000307712
abrilo,0,3,0,0.000923137
abrir,75,11,0.015692050825506485,0.003384834
abriram,1,0,0.000209227,0
abriria,1,0,0.000209227,0
abrissem,1,0,0.000209227,0
abriu,1,0,0.000209227,0
abriu46nova,1,0,0.000209227,0
abrucio,2,0,0.000418455,0
abruptament,2,0,0.000418455,0
abrupto,7,0,0.001464591,0
abruzzo,2,0,0.000418455,0
abscesso,1,0,0.000209227,0
absoluta,33,25,0.006904502,0.007692805
absolutament,33,25,0.006904502,0.007692805
absoluto,52,16,0.010879821905684497,0.004923395
absolv,5,1,0.001046137,0.000307712
absolvicao,1,0,0.000209227,0
absolvido,5,1,0.001046137,0.000307712
absorcao,0,2,0,0.000615424
absorv,1,1,0.000209227,0.000307712
absorvelo,0,1,0,0.000307712
absorvido,1,1,0.000209227,0.000307712
absorvivel,1,0,0.000209227,0
abstemia,0,1,0,0.000307712
abstencao,8,3,0.001673819,0.000923137
abster,4,0,0.000836909,0
abstinencia,1,1,0.000209227,0.000307712
abstrata,2,0,0.000418455,0
absurdament,1,4,0.000209227,0.001230849
absurdo,19,1,0.00397532,0.000307712
absurdospor,0,1,0,0.000307712
abt,3,0,0.000627682,0
abu,2,1,0.000418455,0.000307712
abuna,3,3,0.000627682,0.000923137
abundancia,4,4,0.000836909,0.001230849
abundant,2,0,0.000418455,0
abusador,0,3,0,0.000923137
abusar,19,52,0.00397532,0.016001033912960528
abusivo,10,4,0.002092273,0.001230849
abuso,11,7,0.002301501,0.002153985
abutr,1,1,0.000209227,0.000307712
ac,1,1,0.000209227,0.000307712
ac130,0,1,0,0.000307712
acab,1,5,0.000209227,0.001538561
acab0u,0,1,0,0.000307712
acaba,1,1,0.000209227,0.000307712
acabado,1,1,0.000209227,0.000307712
acabadoo,0,1,0,0.000307712
acabala,0,1,0,0.000307712
acabam,1,1,0.000209227,0.000307712
acabamento,0,1,0,0.000307712
acabando,1,0,0.000209227,0
acabar,1,1,0.000209227,0.000307712
acabaram,1,0,0.000209227,0
acabarisso,0,1,0,0.000307712
acabas,0,1,0,0.000307712
acabei,1,0,0.000209227,0
acaboua,0,1,0,0.000307712
acabouacab,0,1,0,0.000307712
acachapant,1,0,0.000209227,0
acad,1,9,0.000209227,0.00276941
academi,1,8,0.000209227,0.002461698
academia,60,8,0.012553641,0.002461698
academiar,60,8,0.012553641,0.002461698
academica,11,5,0.002301501,0.001538561
academico,19,8,0.00397532,0.002461698
acadia,1,0,0.000209227,0
acafrao,0,1,0,0.000307712
acafraodaterra,0,1,0,0.000307712
acai,0,3,0,0.000923137
acalentar,1,0,0.000209227,0
acalmar,4,3,0.000836909,0.000923137
acalorado,1,0,0.000209227,0
acalorar,4,1,0.000836909,0.000307712
acamar,5,0,0.001046137,0
acampamento,3,8,0.000627682,0.002461698
acampar,1,1,0.000209227,0.000307712
acao,1,1,0.000209227,0.000307712
acapulco,0,1,0,0.000307712
acaraj,1,0,0.000209227,0
acarar,1,0,0.000209227,0
acareacao,5,0,0.001046137,0
acari,1,1,0.000209227,0.000307712
acariciar,1,0,0.000209227,0
acarretar,8,3,0.001673819,0.000923137
acasalamento,0,1,0,0.000307712
acaso,5,1,0.001046137,0.000307712
acatamento,1,0,0.000209227,0
acatar,4,11,0.000836909,0.003384834
acauteladora,1,0,0.000209227,0
acceler,2,0,0.000418455,0
accept,1,0,0.000209227,0
acceso,0,1,0,0.000307712
access,2,1,0.000418455,0.000307712
accion,1,0,0.000209227,0
acciu,1,0,0.000209227,0
accor,4,0,0.000836909,0
ace2,4,0,0.000836909,0
aced,2,7,0.000418455,0.002153985
acefalo,1,0,0.000209227,0
aceit,1,3,0.000209227,0.000923137
aceitacao,1,9,0.000209227,0.00276941
aceitalo,0,2,0,0.000615424
aceitar,1,124,0.000209227,0.038156312
aceitaram,1,0,0.000209227,0
aceitavel,1,3,0.000209227,0.000923137
aceito,18,24,0.003766092,0.007385093
aceler,1,2,0.000209227,0.000615424
acelera,1,2,0.000209227,0.000615424
aceleracao,1,2,0.000209227,0.000615424
acelerada,1,0,0.000209227,0
acelerador,1,0,0.000209227,0
acelerar,9,12,0.001883046,0.003692546
acen,2,1,0.000418455,0.000307712
acena,1,2,0.000209227,0.000615424
acenar,8,2,0.001673819,0.000615424
acend,1,1,0.000209227,0.000307712
aceno,3,0,0.000627682,0
acento,0,2,0,0.000615424
acentuacao,0,2,0,0.000615424
acentuar,9,1,0.001883046,0.000307712
acer,1,6,0.000209227,0.001846273
acercar,0,3,0,0.000923137
acerola,1,4,0.000209227,0.001230849
acertador,0,1,0,0.000307712
acertar,19,19,0.00397532,0.005846532
acerto,4,1,0.000836909,0.000307712
acervar,5,11,0.001046137,0.003384834
acervo,0,3,0,0.000923137
aceso,0,1,0,0.000307712
acess,3,1,0.000627682,0.000307712
acessa,1,1,0.000209227,0.000307712
acessada,3,0,0.000627682,0
acessado,7,4,0.001464591,0.001230849
acessala,1,0,0.000209227,0
acessam,1,0,0.000209227,0
acessando,1,4,0.000209227,0.001230849
acessao,1,0,0.000209227,0
acessar,15,1,0.00313841,0.000307712
acessaram,0,1,0,0.000307712
acessarem,0,1,0,0.000307712
acessarmo,0,1,0,0.000307712
acessass,1,0,0.000209227,0
acesseaqui,1,0,0.000209227,0
acesseaquieaqui,1,0,0.000209227,0
acesseaquio,1,0,0.000209227,0
acessem,0,2,0,0.000615424
acessibilidad,1,2,0.000209227,0.000615424
acessivei,1,0,0.000209227,0
acessivel,3,1,0.000627682,0.000307712
acesso,19,1,0.00397532,0.000307712
acessorio,19,1,0.00397532,0.000307712
acessospor,0,1,0,0.000307712
acetico,0,1,0,0.000307712
acetico4,0,1,0,0.000307712
acetilcisteina,0,2,0,0.000615424
acha,1,1,0.000209227,0.000307712
achacar,0,1,0,0.000307712
acham,1,0,0.000209227,0
achar,1,1,0.000209227,0.000307712
acharam,2,0,0.000418455,0
acharem,1,0,0.000209227,0
achatada,1,0,0.000209227,0
achatamento,4,2,0.000836909,0.000615424
achatar,0,7,0,0.002153985
achava,1,0,0.000209227,0
achavam,1,0,0.000209227,0
achcar,0,1,0,0.000307712
achei,1,1,0.000209227,0.000307712
achim,1,0,0.000209227,0
achincalhar,3,0,0.000627682,0
achismo,2,1,0.000418455,0.000307712
achium,1,0,0.000209227,0
acho,2,1,0.000418455,0.000307712
achocolatar,1,2,0.000209227,0.000615424
achou,1,0,0.000209227,0
achuy,1,0,0.000209227,0
acidar,0,2,0,0.000615424
acident,14,70,0.002929183,0.021539853344369943
acidentalment,1,4,0.000209227,0.001230849
acidentar,14,70,0.002929183,0.021539853344369943
acidez,0,5,0,0.001538561
acidificar,0,4,0,0.001230849
acido,2,2,0.000418455,0.000615424
acidos,0,2,0,0.000615424
acij,0,4,0,0.001230849
acima,168,129,0.035150194,0.039694873
acimentria,0,1,0,0.000307712
acint,1,3,0.000209227,0.000923137
acintoso,1,0,0.000209227,0
acinzentado,1,0,0.000209227,0
acioli,1,0,0.000209227,0
acion,1,1,0.000209227,0.000307712
aciona,1,1,0.000209227,0.000307712
acionada,3,2,0.000627682,0.000615424
acionado,1,7,0.000209227,0.002153985
acionar,144,75,0.030128738,0.023078414297539224
acionaram,5,1,0.001046137,0.000307712
acionaria,1,1,0.000209227,0.000307712
acionario,2,1,0.000418455,0.000307712
acionei,0,1,0,0.000307712
acionista,17,6,0.003556865,0.001846273
acirrado,1,0,0.000209227,0
acirramento,1,2,0.000209227,0.000615424
acirrando,1,0,0.000209227,0
acirrar,2,4,0.000418455,0.001230849
aclamacao,0,2,0,0.000615424
aclamar,3,0,0.000627682,0
acm,1,2,0.000209227,0.000615424
acn,1,0,0.000209227,0
acnur,1,0,0.000209227,0
aco,1,1,0.000209227,0.000307712
acobertar,3,9,0.000627682,0.00276941
acodamento,1,0,0.000209227,0
acodar,1,0,0.000209227,0
acola,5,8,0.001046137,0.002461698
acolh,15,1,0.00313841,0.000307712
acolhedor,3,0,0.000627682,0
acolherar,2,0,0.000418455,0
acolheu,1,0,0.000209227,0
acolhido,4,1,0.000836909,0.000307712
acolhimento,15,1,0.00313841,0.000307712
acomet,1,9,0.000209227,0.00276941
acometimento,1,0,0.000209227,0
acomodacao,0,2,0,0.000615424
acomodar,9,5,0.001883046,0.001538561
acompana,0,1,0,0.000307712
acompanh,1,1,0.000209227,0.000307712
acompanha,1,1,0.000209227,0.000307712
acompanhado,1,0,0.000209227,0
acompanhala,1,0,0.000209227,0
acompanhalo,1,0,0.000209227,0
acompanham,76,12,0.015901278169846572,0.003692546
acompanhamento,76,12,0.015901278169846572,0.003692546
acompanhando,1,0,0.000209227,0
acompanhant,5,4,0.001046137,0.001230849
acompanhar,1,1,0.000209227,0.000307712
acompanharam,1,0,0.000209227,0
acompanharrenata,0,1,0,0.000307712
acompanhei,1,0,0.000209227,0
aconchegar,1,0,0.000209227,0
acondicionamento,1,0,0.000209227,0
acondrito,1,0,0.000209227,0
aconseguirem,1,0,0.000209227,0
aconselhada,1,0,0.000209227,0
aconselhamento,12,0,0.002510728,0
aconselhar,1,3,0.000209227,0.000923137
aconselhas,0,4,0,0.001230849
aconselhavel,1,1,0.000209227,0.000307712
acontagem,0,1,0,0.000307712
acontec,9,8,0.001883046,0.002461698
aconteca,2,0,0.000418455,0
acontecendo,1,0,0.000209227,0
aconteceno,1,0,0.000209227,0
acontecepart,0,1,0,0.000307712
aconteceram,1,0,0.000209227,0
acontecerao,1,0,0.000209227,0
aconteceu,13,1,0.002719955,0.000307712
aconteceuembora,0,1,0,0.000307712
acontecido,2,0,0.000418455,0
acontecimento,9,8,0.001883046,0.002461698
acool,0,1,0,0.000307712
acoplado,4,3,0.000836909,0.000923137
acoplar,1,0,0.000209227,0
acorar,0,1,0,0.000307712
acorcin,0,1,0,0.000307712
acordabrasil,0,1,0,0.000307712
acordao,6,3,0.001255364,0.000923137
acordar,3,3,0.000627682,0.000923137
acordatuqdormesonodamort,0,1,0,0.000307712
acordeon,2,0,0.000418455,0
acordo,125,1,0.026153418042510812,0.000307712
acordocom,0,1,0,0.000307712
acorr,1,1,0.000209227,0.000307712
acorrentams,1,0,0.000209227,0
acorrentar,0,2,0,0.000615424
acostamento,0,4,0,0.001230849
acostum,1,1,0.000209227,0.000307712
acostumar,1,10,0.000209227,0.003077122
acostumara,1,0,0.000209227,0
acostumes,0,1,0,0.000307712
acougu,0,5,0,0.001538561
acougueiro,0,5,0,0.001538561
acovardar,0,1,0,0.000307712
acr,1,1,0.000209227,0.000307712
acrea,1,1,0.000209227,0.000307712
acreano,1,1,0.000209227,0.000307712
acredit,5,1,0.001046137,0.000307712
acredita,5,1,0.001046137,0.000307712
acreditacao,1,0,0.000209227,0
acreditam,1,0,0.000209227,0
acreditamo,1,0,0.000209227,0
acreditando,1,0,0.000209227,0
acreditar,2,8,0.000418455,0.002461698
acreditas,3,3,0.000627682,0.000923137
acrediteroberto,0,1,0,0.000307712
acredito,3,1,0.000627682,0.000307712
acresc,8,2,0.001673819,0.000615424
acrescent,1,45,0.000209227,0.013847048578523535
acrescentapossivei,1,0,0.000209227,0
acrescentar,1,45,0.000209227,0.013847048578523535
acrescentaram,1,0,0.000209227,0
acrescentousem,1,0,0.000209227,0
acrescido,1,0,0.000209227,0
acrescimo,8,2,0.001673819,0.000615424
acrilex,2,0,0.000418455,0
acrilico,2,0,0.000418455,0
acripara,0,1,0,0.000307712
acriterioso,1,0,0.000209227,0
act,1,1,0.000209227,0.000307712
action,1,0,0.000209227,0
activacao,0,1,0,0.000307712
acto,26,1,0.005439911,0.000307712
actor,2,1,0.000418455,0.000307712
acuar,7,1,0.001464591,0.000307712
acucar,8,3,0.001673819,0.000923137
acucarar,0,3,0,0.000923137
acudir,1,6,0.000209227,0.001846273
acumulada,2,0,0.000418455,0
acumulado,2,0,0.000418455,0
acumulador,2,0,0.000418455,0
acumulams,1,0,0.000209227,0
acumular,62,26,0.012972095349085363,0.008000517
acumulativo,1,0,0.000209227,0
acumulo,5,3,0.001046137,0.000923137
acupuntura,1,0,0.000209227,0
acupunturista,1,0,0.000209227,0
acus,2,1,0.000418455,0.000307712
acusa,145,137,0.030337965,0.042156570116838314
acusacao,82,55,0.017156642,0.01692417
acusaco,1,1,0.000209227,0.000307712
acusacoescova,1,0,0.000209227,0
acusacoesna,0,1,0,0.000307712
acusada,3,0,0.000627682,0
acusado,1,0,0.000209227,0
acusador,1,0,0.000209227,0
acusalo,0,1,0,0.000307712
acusam,1,0,0.000209227,0
acusams,1,0,0.000209227,0
acusando,2,1,0.000418455,0.000307712
acusandoa,0,1,0,0.000307712
acusandono,0,1,0,0.000307712
acusandoo,2,0,0.000418455,0
acusar,145,137,0.030337965,0.042156570116838314
acusdo,0,1,0,0.000307712
acustico,2,0,0.000418455,0
acuti,0,1,0,0.000307712
acwi,0,2,0,0.000615424
ad,2,2,0.000418455,0.000615424
ad26cov2,1,0,0.000209227,0
ad5ncov,1,0,0.000209227,0
adagio,3,0,0.000627682,0
adalberto,3,0,0.000627682,0
adalgisa,1,0,0.000209227,0
adalmir,1,0,0.000209227,0
adam,1,1,0.000209227,0.000307712
adamantino,0,1,0,0.000307712
adao,2,3,0.000418455,0.000923137
adaptacao,16,3,0.003347638,0.000923137
adaptaco,2,0,0.000418455,0
adaptada,1,0,0.000209227,0
adaptado,2,0,0.000418455,0
adaptando,1,0,0.000209227,0
adaptandoo,1,0,0.000209227,0
adaptandos,1,0,0.000209227,0
adaptar,2,4,0.000418455,0.001230849
adaptavel,1,0,0.000209227,0
adar,1,8,0.000209227,0.002461698
adbelmassih,1,0,0.000209227,0
addit,1,0,0.000209227,0
address,1,0,0.000209227,0
adegar,0,6,0,0.001846273
adelia,0,1,0,0.000307712
adelio,1,70,0.000209227,0.021539853344369943
adelvanio,1,0,0.000209227,0
ademir,2,0,0.000418455,0
adendo,0,2,0,0.000615424
adenoviru,7,1,0.001464591,0.000307712
adensamento,0,1,0,0.000307712
adensar,0,1,0,0.000307712
adentrar,3,2,0.000627682,0.000615424
adepto,5,0,0.001046137,0
adequacao,3,1,0.000627682,0.000307712
adequada,5,4,0.001046137,0.001230849
adequadament,5,4,0.001046137,0.001230849
adequado,19,5,0.00397532,0.001538561
adequar,2,18,0.000418455,0.005538819
adequass,1,0,0.000209227,0
aderecar,1,1,0.000209227,0.000307712
aderir,2,10,0.000418455,0.003077122
aderiram,2,0,0.000418455,0
adesao,26,5,0.005439911,0.001538561
adesivaco,1,0,0.000209227,0
adesivado,0,1,0,0.000307712
adesivo,5,5,0.001046137,0.001538561
adestrar,0,1,0,0.000307712
adesviva,0,1,0,0.000307712
adeu,3,1,0.000627682,0.000307712
adeyemi,1,0,0.000209227,0
adhanom,39,11,0.008159866,0.003384834
adhanon,1,0,0.000209227,0
adhemar,0,1,0,0.000307712
adiada,1,0,0.000209227,0
adiado,3,0,0.000627682,0
adiala,1,0,0.000209227,0
adiamento,49,2,0.010252139872664238,0.000615424
adiamo,1,0,0.000209227,0
adiant,58,43,0.012135185971725018,0.013231624197255822
adianta,58,43,0.012135185971725018,0.013231624197255822
adiantado,1,0,0.000209227,0
adiantam,3,0,0.000627682,0
adiantamento,3,0,0.000627682,0
adiantar,58,43,0.012135185971725018,0.013231624197255822
adiar,3,1,0.000627682,0.000307712
adib,1,1,0.000209227,0.000307712
adicao,17,12,0.003556865,0.003692546
adicion,10,3,0.002092273,0.000923137
adicionado,1,0,0.000209227,0
adicionai,2,0,0.000418455,0
adicionalment,10,3,0.002092273,0.000923137
adicionalo,0,3,0,0.000923137
adicionar,51,17,0.010670594561344412,0.005231107
adicionavestido,1,0,0.000209227,0
adida,0,1,0,0.000307712
adig,2,11,0.000418455,0.003384834
adilson,2,2,0.000418455,0.000615424
adimiracao,0,1,0,0.000307712
adin,48,1,0.010042912528324151,0.000307712
adiposo,1,0,0.000209227,0
adir,1,1,0.000209227,0.000307712
aditala,0,1,0,0.000307712
aditivado,0,5,0,0.001538561
aditivo,6,0,0.001255364,0
adivinen,0,1,0,0.000307712
adivinhar,3,11,0.000627682,0.003384834
adivinho,0,9,0,0.00276941
adjacencia,0,1,0,0.000307712
adjacent,2,3,0.000418455,0.000923137
adjetivar,0,1,0,0.000307712
adjetivo,0,1,0,0.000307712
adjunto,1,3,0.000209227,0.000923137
adjuvant,1,2,0.000209227,0.000615424
adm,2,1,0.000418455,0.000307712
administr,1,1,0.000209227,0.000307712
administra,1,1,0.000209227,0.000307712
administracao,99,46,0.020713507089668563,0.014154760769157391
administrada,2,0,0.000418455,0
administrado,1,10,0.000209227,0.003077122
administrador,1,10,0.000209227,0.003077122
administradora,1,0,0.000209227,0
administradorassociado,1,0,0.000209227,0
administram,1,0,0.000209227,0
administrandoo,0,1,0,0.000307712
administrar,53,36,0.011089049250024584,0.011077638862818828
administrativa,1,1,0.000209227,0.000307712
administrativaa,0,1,0,0.000307712
administrativament,1,0,0.000209227,0
administrativo,101,1,0.021131961778348737,0.000307712
administravel,1,0,0.000209227,0
adminstr,1,0,0.000209227,0
admiracao,0,4,0,0.001230849
admirador,2,4,0.000418455,0.001230849
admirar,3,8,0.000627682,0.002461698
admiravel,4,1,0.000836909,0.000307712
admissao,2,1,0.000418455,0.000307712
admissibilidad,3,0,0.000627682,0
admissivel,4,3,0.000836909,0.000923137
admitido,1,0,0.000209227,0
admitir,1,1,0.000209227,0.000307712
admitiram,1,0,0.000209227,0
admitirpolici,0,1,0,0.000307712
admitiu,1,0,0.000209227,0
admitiuqu,1,0,0.000209227,0
adn,0,1,0,0.000307712
adnet,0,1,0,0.000307712
adocant,0,1,0,0.000307712
adocao,43,39,0.008996776,0.012000775434720397
adocar,0,1,0,0.000307712
adoec,1,2,0.000209227,0.000615424
adoecam,1,0,0.000209227,0
adoecia,1,0,0.000209227,0
adoecimento,1,2,0.000209227,0.000615424
adoidar,0,3,0,0.000923137
adolesc,64,1,0.013390550037765535,0.000307712
adolescencia,7,0,0.001464591,0
adolescent,64,1,0.013390550037765535,0.000307712
adolf,19,1,0.00397532,0.000307712
adolfhitl,0,1,0,0.000307712
adolfo,19,1,0.00397532,0.000307712
adoni,2,0,0.000418455,0
adoracao,0,3,0,0.000923137
adorador,0,3,0,0.000923137
adorando,1,0,0.000209227,0
adorar,6,19,0.001255364,0.005846532
adormec,4,1,0.000836909,0.000307712
adormecido,0,1,0,0.000307712
adornar,0,1,0,0.000307712
adorno,1,0,0.000209227,0
adot,1,1,0.000209227,0.000307712
adota,3,1,0.000627682,0.000307712
adotada,108,29,0.022596553188729343,0.008923654
adotado,46,23,0.009624458,0.00707738
adotam,2,1,0.000418455,0.000307712
adotamo,2,1,0.000418455,0.000307712
adotando,11,2,0.002301501,0.000615424
adotant,0,1,0,0.000307712
adotar,7,1,0.001464591,0.000307712
adotara,12,5,0.002510728,0.001538561
adotaram,12,5,0.002510728,0.001538561
adotarem,7,1,0.001464591,0.000307712
adotaria,0,1,0,0.000307712
adotassem,3,0,0.000627682,0
adotem,1,8,0.000209227,0.002461698
adotemo,1,0,0.000209227,0
adotiva,1,0,0.000209227,0
adotivo,0,1,0,0.000307712
adoto,1,0,0.000209227,0
adpf,5,0,0.001046137,0
adquirida,2,0,0.000418455,0
adquirido,4,0,0.000836909,0
adquirilo,0,1,0,0.000307712
adquirir,76,1,0.015901278169846572,0.000307712
adrenalina,2,1,0.000418455,0.000307712
adria,2,1,0.000418455,0.000307712
adrian,12,1,0.002510728,0.000307712
adriana,5,1,0.001046137,0.000307712
adriano,12,1,0.002510728,0.000307712
adriatico,2,0,0.000418455,0
adrielli,1,0,0.000209227,0
aduana,1,0,0.000209227,0
aduaneiro,1,0,0.000209227,0
adubar,0,1,0,0.000307712
adulteracao,0,3,0,0.000923137
adulterant,1,0,0.000209227,0
adulterar,3,19,0.000627682,0.005846532
adulterio,2,0,0.000418455,0
adulto,97,23,0.020295052,0.00707738
adurir,3,0,0.000627682,0
adutor,3,2,0.000627682,0.000615424
adv,1,1,0.000209227,0.000307712
advanc,3,0,0.000627682,0
adventista,0,2,0,0.000615424
advento,0,1,0,0.000307712
adverci,1,0,0.000209227,0
adversar,57,13,0.011925958627384929,0.004000258
adversaria,1,0,0.000209227,0
adversario,57,13,0.011925958627384929,0.004000258
adversidad,4,1,0.000836909,0.000307712
adverso,21,44,0.004393774,0.013539336387889678
advertem,2,0,0.000418455,0
advertencia,13,4,0.002719955,0.001230849
advertir,19,11,0.00397532,0.003384834
advertiu,1,0,0.000209227,0
advinh,0,1,0,0.000307712
advir,1,2,0.000209227,0.000615424
advocacia,1,2,0.000209227,0.000615424
advocaciager,34,2,0.00711373,0.000615424
advocaticio,1,0,0.000209227,0
advogacia,1,0,0.000209227,0
advogaciager,1,0,0.000209227,0
advogado,1,2,0.000209227,0.000615424
advogadoger,9,0,0.001883046,0
advogar,172,117,0.035987103,0.036002326
ae,1,1,0.000209227,0.000307712
aeb,1,0,0.000209227,0
aecio,3,9,0.000627682,0.00276941
aed,1,1,0.000209227,0.000307712
aegypti,5,2,0.001046137,0.000615424
aegyti,1,0,0.000209227,0
aem,13,1,0.002719955,0.000307712
aeonm,1,0,0.000209227,0
aercio,3,2,0.000627682,0.000615424
aerea,8,1,0.001673819,0.000307712
aereasconform,0,1,0,0.000307712
aereasr,0,1,0,0.000307712
aereo,5,1,0.001046137,0.000307712
aeri,1,0,0.000209227,0
